DEPTID|UFID|END_DATE|title|SAL_ADMIN_PLAN|uri|remove|hr_title|START_DATE
60140000|93319720|NULL|Laboratory, Senior Teaching Specialist|US2E|||LABORATORY, SR TEACHING SPEC|1989-09-15
17200400|91212560|NULL|Career Development Services, Coordinator 3|TA12|||CAREER DEVEL SVCS, CRD 3|2006-06-12
28011502|21156040|NULL|Information/Pub Services, Assistant Director 4|TA12|||INFO/PUB SVCS, AST DIR 4|1990-08-01
60410000|71018680|NULL|Information Technology Expert|TA12|||IT EXPERT|1991-05-10
57130100|93146949|NULL|Education/Training Programs, Coordinator 1|TA12|||EDUC/TRAINING PROGS, CRD 1|2007-09-17
11260000|99819338|NULL|Marketing Representative|TU2E|||MARKETING REP|2014-06-09
29040200|09122910|NULL|Clinical Professor|FACM|||CLIN PROF|1981-02-01
07700100|38572070|NULL|University Housing, Coordinator 2|TA12|||UNIV HOUSING, CRD 2|2008-11-26
29120000|54324630|NULL|Education/Training Programs, Coordinator 3|TA12|||EDUC/TRAINING PROGS, CRD 3|2006-06-19
16120100|37544070|NULL|Laboratory, Senior Teaching Specialist|US2E|||LABORATORY, SR TEACHING SPEC|1991-03-01
30090000|98089559|NULL|Clinical Programs, Coordinator 3|TA12|||CLINICAL PROGRAMS, CRD 3|2013-09-06
27010400|29143131|NULL|Information/Publications Services, Director 4|TA12|||INFO/PUBLICATIONS SVCS, DIR 4|2012-11-29
28040000|56465650|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2011-02-07
60100000|91678561|NULL|Biological Scientist|TU2E|||BIOLOGICAL SCIENTIST|2004-12-03
64801000|91246630|NULL|Controller, Associate 5|TA12|||CONTROLLER, ASSOCIATE 5|1989-02-06
29051402|46481410|NULL|Program Director  and  Associate Professor|FACM|||PRG DIR & ASO PROF|2004-06-18
07700100|44349781|NULL|Student Affairs, Coordinator 1|TA12|||STUDENT AFFAIRS, , CRD 1|2008-04-18
29190000|51427982|NULL|Chief  and  Professor|FACM|||CHIEF & PROF|2006-01-17
16860100|84145447|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2010-08-16
60170000|53156850|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2004-06-18
33030000|62416260|NULL|Adjunct Lecturer|OF12|||ADJ LECTURER|2012-01-06
24010000|22446901|NULL|Adjunct Professor|OF09|||ADJ PROF|2005-01-01
23010200|80959038|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2013-08-16
32060300|93090460|NULL|Affiliate Lecturer|CTSY|||AFFL LECTURER|2005-12-07
30070000|84608450|NULL|Chief Resident|HOUS|||CHIEF RESIDENT|2005-05-16
15040000|76861600|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2014-01-01
32060300|96992138|NULL|Affiliate Lecturer|CTSY|||AFFL LECTURER|2005-08-26
63700100|47188260|NULL|Engineering Technician, Senior|TU2E|||ENGINEERING TECH, SR|1998-03-13
30220000|62246490|NULL|Chief Resident|HOUS|||CHIEF RESIDENT|2006-12-01
29080100|51454572|NULL|Adjunct Lecturer|OF12|||ADJ LECTURER|2013-05-01
19010200|19498858|NULL|Academic Support Services, Assistant Director 3|TA12|||ACADEMIC SUPP SVCS, AST DIR 3|2014-08-11
27010717|11644300|NULL|Information Technology Expert|TA12|||IT EXPERT|2004-01-05
19020000|73265765|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2014-08-16
16940100|94991558|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2005-08-16
33040000|17484241|NULL|Adjunct Lecturer|OF12|||ADJ LECTURER|2009-01-01
13040100|13688400|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|1993-08-13
60190000|59969673|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2005-01-01
23040000|44276380|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|1993-10-22
60090000|86506333|NULL|Biological Scientist|TU2E|||BIOLOGICAL SCIENTIST|2013-10-01
18080000|38047330|NULL|Adjunct Professor|OF09|||ADJ PROF|1975-08-30
18080000|94676650|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2006-08-16
13030100|86716810|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2014-08-16
33040000|35180200|NULL|Clinical Professor|FA12|||CLIN PROF|1998-06-12
16860100|40604922|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2010-08-16
60152300|53818708|NULL|Research Associate Scientist|FA12|||RES ASO SCTST|2009-01-05
14020000|23505610|NULL|Application Developer Analyst 3|TA12|||APPLICATION DEVELOPER ANLST 3|1989-12-26
29170000|90531170|NULL|Chief Resident|HOUS|||CHIEF RESIDENT|2010-07-01
60754000|53920140|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2004-06-18
60730000|89422570|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|1989-03-01
30090000|47683158|NULL|Clinical Programs, Coordinator 2|TA12|||CLINICAL PROGRAMS, CRD 2|2013-09-06
29680240|95547340|NULL|Information Technology Expert|TA12|||IT EXPERT|2014-05-12
17210600|55697740|NULL|Information Technology Expert|TA12|||IT EXPERT|2006-08-16
30040000|21286542|NULL|Associate Chair  and  Clinical Associate Professor|FACM|||ASO CHAIR & CLIN ASO PROF|2014-07-18
60460000|47535181|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|1997-01-01
29080000|13339620|NULL|Program Director  and  Associate Professor|FA12|||PRG DIR & ASO PROF|1991-06-01
27010711|85500869|NULL|Information Technology Expert|TA12|||IT EXPERT|2005-07-25
29170000|64305980|NULL|Education/Training Programs, Coordinator 3|TA12|||EDUC/TRAINING PROGS, CRD 3|2008-06-30
17200300|05346910|NULL|Academic Support Services, Assistant Director 3|TA12|||ACADEMIC SUPP SVCS, AST DIR 3|1999-06-07
60351100|10585460|NULL|Extension Agent III|FA12|||EXT AGENT III|1999-04-09
60140000|41605440|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|1992-07-15
29020000|70734946|NULL|Affiliate Research Assistant Professor|CTSY|||AFFL RES AST PROF|2007-10-04
14200500|38619001|NULL|Information Technology Expert|TA12|||IT EXPERT|2012-06-01
48000000|71025901|NULL|Information Technology Expert|TA12|||IT EXPERT|2013-01-04
33050000|76696526|NULL|Information Technology Expert|TA12|||IT EXPERT|2011-02-25
56020000|53676890|NULL|Museum Operations, Coordinator 3|TA12|||MUSEUM OPERATIONS, CRD 3|2007-03-27
60354011|06284830|NULL|County Extension Director  and  Extension Agent III|FA12|||CTY EXT DIR & EXT AGENT III|2001-04-03
19220200|80015430|NULL|Information Technology Expert|TA12|||IT EXPERT|1991-02-12
29050600|62101578|NULL|Clinical Professor|FACM|||CLIN PROF|2009-01-01
60351066|33155130|NULL|County Extension Director  and  Extension Agent III|FA12|||CTY EXT DIR & EXT AGENT III|1995-08-25
06010000|80702430|NULL|Student Financial Aid, Assistant Director 2|TA12|||STUDENT FINAN AID, AST DIR 2|1987-10-30
16900000|66332600|NULL|Courtesy Postdoctoral Associate|CTSY|||CO POSTDOC ASO|2011-10-11
60100000|10067690|NULL|Biological Scientist|TU2E|||BIOLOGICAL SCIENTIST|2008-09-05
19030000|17080960|NULL|Distinguished Professor|FA09|||DIS PROF|1997-12-26
56021400|87101469|NULL|Courtesy Postdoctoral Associate|CTSY|||CO POSTDOC ASO|2008-08-27
60732000|50853601|NULL|Visiting Professor|OF12|||VIS PROF|2000-01-31
50010000|13875570|NULL|Development/Alumni Affiliate, Director 5|TA12|||DEVELOPMENT/ALUMNI AFF, DIR 5|1999-05-17
16309001|15945740|NULL|Adjunct Lecturer|OF12|||ADJ LECTURER|2012-03-05
60353053|23935560|NULL|Extension Agent III|FA12|||EXT AGENT III|1993-08-26
16400100|20722297|NULL|Adjunct Professor|OF09|||ADJ PROF|2007-07-01
60760000|91163785|NULL|Biological Scientist|TU2E|||BIOLOGICAL SCIENTIST|2007-09-07
07700100|82168309|NULL|University Housing, Assistant Director 3|TA12|||UNIV HOUSING, AST DIR 3|2012-11-30
13030100|48951306|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2003-08-08
29200000|87494170|NULL|Editor|TU2E|||EDITOR|2010-04-12
23010200|98119157|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2014-08-16
23010200|98119157|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2014-01-01
29130000|71321742|NULL|Chief Resident|HOUS|||CHIEF RESIDENT|2011-07-01
18050000|72978020|NULL|School Director  and  Professor|FA09|||SCH DIR & PROF|2001-08-10
23020000|23559188|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2013-08-16
16140100|91911465|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2014-08-16
18050000|42817450|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2014-08-16
60140000|42609421|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2000-01-01
56030400|30892920|NULL|Museum Operations, Coordinator 3|TA12|||MUSEUM OPERATIONS, CRD 3|2009-09-25
16010900|11805590|NULL|Business Administrative Specialist III|TA12|||BUSINESS ADMIN SPECIALIST III|1980-03-13
60460000|43767173|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2008-02-25
60354029|93111979|NULL|Program County Extension Agent III|CTSY|||PROGRAM COUNTY EXT AGENT III|2005-02-07
30090000|94196829|NULL|Clinical Professor|FACM|||CLIN PROF|2009-02-06
29090700|59741510|NULL|Clinical Programs, Coordinator 3|TA12|||CLINICAL PROGRAMS, CRD 3|2011-03-11
19020000|45519665|NULL|Courtesy Scholar|CTSY|||CO SCHOLAR|2014-01-03
07700100|45801184|NULL|University Housing, Assistant Director 3|TA12|||UNIV HOUSING, AST DIR 3|2007-06-01
34170200|81813491|NULL|Courtesy Scholar|CTSY|||CO SCHOLAR|2013-12-06
17010500|53195020|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2007-08-09
16520000|19691140|NULL|Student Affairs, Coordinator 1|TA12|||STUDENT AFFAIRS, , CRD 1|1987-05-01
15020100|07437700|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2009-02-11
28040000|56030450|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2011-09-26
57140100|14073361|NULL|Courtesy Associate Scientist|CTSY|||CO ASO SCTST|1989-01-01
29180300|14458120|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2011-06-01
14800000|92201480|NULL|Application Developer Analyst 3|TA12|||APPLICATION DEVELOPER ANLST 3|2003-02-17
60070000|94478050|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2000-01-01
16940100|63139067|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2009-07-01
16309001|89101848|NULL|Adjunct Lecturer|OF12|||ADJ LECTURER|2010-05-14
19010400|69355930|NULL|Information Technology Expert|TA12|||IT EXPERT|1995-12-20
34060500|19728187|NULL|Courtesy Clinical Postdoctoral Associate|CTSY|||CO CLIN POSTDOC ASO|2014-05-13
13020100|98545641|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2014-01-01
29210000|19800070|NULL|Adjunct Professor|OF12|||ADJ PROF|2005-08-01
29141900|74728350|NULL|Chief  and  Professor|FACM|||CHIEF & PROF|1994-07-28
12010300|80631067|NULL|Editor|TU2E|||EDITOR|2011-01-03
33160000|15708549|NULL|Program Director  and  Associate Professor|FA12|||PRG DIR & ASO PROF|2007-07-01
16280000|11381313|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2008-08-06
14340300|55005178|NULL|Network Engineer 2|TA12|||NETWORK ENGINEER 2|2014-07-25
33050000|34189139|NULL|Courtesy Postdoctoral Associate|CTSY|||CO POSTDOC ASO|2007-10-01
35030200|95900220|NULL|Clinical Programs, Coordinator 3|TA12|||CLINICAL PROGRAMS, CRD 3|1990-06-22
17210200|23013880|NULL|Information Technology Expert|TA12|||IT EXPERT|2004-08-16
34060500|49969536|NULL|Courtesy Clinical Postdoctoral Associate|CTSY|||CO CLIN POSTDOC ASO|2013-05-13
29092300|45915556|NULL|Biological Scientist|TU2E|||BIOLOGICAL SCIENTIST|2004-07-02
29340000|59495660|NULL|Adjunct Professor|OF12|||ADJ PROF|2012-06-01
16240000|33215450|NULL|Distinguished Professor|FA09|||DIS PROF|1982-08-06
28040000|59931539|NULL|Biological Scientist|TU2E|||BIOLOGICAL SCIENTIST|2007-06-20
30150000|64341301|NULL|Courtesy Clinical Professor|CTSY|||CO CLIN PROF|2013-05-10
30090000|26968804|NULL|Research Programs/Services, Coordinator 4|TA12|||RESEARCH PROGS/SVCS, CRD 4|2013-07-02
29040100|37931143|NULL|Clinical Professor|FACM|||CLIN PROF|2007-08-13
29260100|50533290|NULL|Information Technology Expert|TA12|||IT EXPERT|2007-09-20
29051400|16363017|NULL|Biological Scientist|TU2E|||BIOLOGICAL SCIENTIST|2013-06-01
19070000|21149935|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2006-01-01
29010000|51153720|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2007-03-21
29070100|88549990|NULL|Information Technology Expert|TA12|||IT EXPERT|2005-12-12
29051400|16012600|NULL|Chief  and  Professor|FACM|||CHIEF & PROF|1990-08-01
29150000|36515600|NULL|Courtesy Clinical Postdoctoral Associate|CTSY|||CO CLIN POSTDOC ASO|2006-11-01
28090000|32170260|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2000-01-01
60740000|27529735|NULL|Biological Scientist|TU2E|||BIOLOGICAL SCIENTIST|2014-07-09
48032000|76766450|NULL|Library Development  and  Services, Coordinator 3|TA12|||LIBRARY DEV & SVCS, CRD 3|2006-03-06
60740000|15435264|NULL|Biological Scientist|TU2E|||BIOLOGICAL SCIENTIST|2013-06-11
29140300|68174760|NULL|Biological Scientist|TU2E|||BIOLOGICAL SCIENTIST|2009-06-16
29092800|30176600|NULL|Laboratory Manager|TU2E|||LABORATORY MGR|2003-01-10
14500000|83464099|NULL|Application Developer Analyst 3|TA12|||APPLICATION DEVELOPER ANLST 3|2011-01-31
11300000|17678659|NULL|Biological Scientist|TU2E|||BIOLOGICAL SCIENTIST|2012-08-23
56030500|08775980|NULL|Program Director  and  Associate Scientist|FA12|||PRG DIR & ASO SCTST|1978-08-04
57140100|78688430|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2008-12-15
29050600|59929167|NULL|Clinical Professor|FACM|||CLIN PROF|2009-07-01
60170000|11512713|NULL|Affiliate Assistant Curator|CTSY|||AFFL AST CURATOR|2011-12-02
19090000|06550450|NULL|Distinguished Professor|FA09|||DIS PROF|1993-12-31
56021200|11611145|NULL|Courtesy Postdoctoral Associate|CTSY|||CO POSTDOC ASO|2009-10-01
60310000|62458010|NULL|Facilities Planning, Coordinator 3|TA12|||FACILITIES PLANNING, CRD 3|1997-02-07
19020000|84831379|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2014-04-01
64300200|35838410|NULL|Business Administrative Specialist III|TA12|||BUSINESS ADMIN SPECIALIST III|1990-12-10
29120000|00886201|NULL|Courtesy Clinical Professor|CTSY|||CO CLIN PROF|1974-01-01
32060300|47451452|NULL|Affiliate Lecturer|CTSY|||AFFL LECTURER|2009-09-16
16360100|60329840|NULL|Engineering Technician, Senior|US2E|||ENGINEERING TECH, SR|2001-06-04
29050600|35588010|NULL|Program Director  and  Eminent Scholar|FACM|||PRG DIR & EMIN SCHOLAR|1996-02-01
13030100|42121311|NULL|Program Director  and  Associate Professor|FA09|||PRG DIR & ASO PROF|2013-08-16
05110000|15027030|NULL|Student Affairs, Coordinator 3|TA12|||STUDENT AFFAIRS, CRD 3|1979-09-14
30220000|72153440|NULL|Program Director  and  Associate Professor|FACM|||PRG DIR & ASO PROF|1998-01-15
34160200|84957104|NULL|Courtesy Clinical Postdoctoral Associate|CTSY|||CO CLIN POSTDOC ASO|2013-07-01
29080100|84441046|NULL|Clinical Professor|FACM|||CLIN PROF|2009-10-01
32060300|63863323|NULL|Affiliate Lecturer|CTSY|||AFFL LECTURER|2011-03-07
60210000|49691979|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2008-04-08
13500000|00344370|NULL|Fine Arts Production Specialist|TU2E|||FINE ARTS PRODUCTION SPEC|2003-01-05
60470000|44493920|NULL|Laboratory, Senior Teaching Specialist|TU2E|||LABORATORY, SR TEACHING SPEC|1976-08-02
60090000|59217340|NULL|Distinguished Professor|FA12|||DIS PROF|1983-04-01
60770000|07246680|NULL|Biological Scientist|TU2E|||BIOLOGICAL SCIENTIST|2011-09-06
29012600|29079131|NULL|Academic Support Services, Coordinator 3|TA12|||ACADEMIC SUPP SVCS, CRD 3|2013-06-24
16240000|64422195|NULL|Courtesy Postdoctoral Associate|CTSY|||CO POSTDOC ASO|2010-06-21
14800000|91816489|NULL|Information Technology Analyst 2|TA12|||IT ANALYST 2|2012-03-16
26010100|62211910|NULL|Adjunct Lecturer|OF12|||ADJ LECTURER|2014-03-14
30290000|07955580|NULL|Associate Chair  and  Clinical Associate Professor|FACM|||ASO CHAIR & CLIN ASO PROF|1992-07-01
60770000|66269169|NULL|Biological Scientist|TU2E|||BIOLOGICAL SCIENTIST|2003-10-14
23030000|58901309|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2009-08-16
14900100|79576270|NULL|End User Computing Specialist 3|TA12|||END USER COMPUTING SPEC 3|2009-08-03
19010501|05132560|NULL|Engineer|FA12|||ENGINEER|1992-01-03
14800000|21194430|NULL|Information Technology Analyst 2|TA12|||IT ANALYST 2|1980-04-08
16900000|71961820|NULL|Biological Scientist|TU2E|||BIOLOGICAL SCIENTIST|2013-11-08
23010200|98288698|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2014-01-01
18080000|22309510|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2014-08-16
23040000|62976649|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2009-04-03
29190000|73946912|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2012-10-25
29120000|19225921|NULL|Chief Resident|HOUS|||CHIEF RESIDENT|2011-07-01
27010717|13837950|NULL|Information Technology Expert|TA12|||IT EXPERT|2003-11-07
30090000|52492861|NULL|Courtesy Clinical Professor|CTSY|||CO CLIN PROF|2006-02-07
18050000|84332104|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2006-08-16
60352012|10423454|NULL|Extension Agent III|FA12|||EXT AGENT III|2008-07-11
33030000|63290630|NULL|Courtesy Associate Scientist|CTSY|||CO ASO SCTST|2004-07-01
13040100|42132978|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2014-01-01
23030000|23990660|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2014-08-16
04030000|86545600|NULL|Clinical Professor|FA09|||CLIN PROF|1982-08-16
57720000|29519101|NULL|Affiliate Research Assistant Professor|CTSY|||AFFL RES AST PROF|2007-10-09
29051700|07534951|NULL|Education/Training Programs, Coordinator 1|TA12|||EDUC/TRAINING PROGS, CRD 1|2005-12-12
56010500|23126190|NULL|Information Technology Expert|TA12|||IT EXPERT|2010-12-13
16900000|92442935|NULL|Courtesy Postdoctoral Associate|CTSY|||CO POSTDOC ASO|2008-01-01
16040300|67748890|NULL|Program Director  and  Associate Professor|FA09|||PRG DIR & ASO PROF|1993-08-13
33050000|06624420|NULL|Adjunct Lecturer|OF12|||ADJ LECTURER|2007-05-18
28090000|08028840|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2006-04-01
18300000|31287538|NULL|Education/Training Programs, Coordinator 1|TA12|||EDUC/TRAINING PROGS, CRD 1|2009-10-09
13030100|85206180|NULL|School Director  and  Professor|FA12|||SCH DIR & PROF|2002-07-01
30090000|39893220|NULL|Chief  and  Clinical Professor|FACM|||CHIEF & CLIN PROF|1993-08-02
16900000|65442721|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|1995-08-12
60840000|59539402|NULL|Education/Training Programs, Coordinator 3|TA12|||EDUC/TRAINING PROGS, CRD 3|2008-08-04
17060300|12259801|NULL|Program Director  and  Senior Associate In|FA12|||PRG DIR & SR ASO IN|2008-10-27
16900000|74036010|NULL|Courtesy Postdoctoral Associate|CTSY|||CO POSTDOC ASO|2009-01-01
29120000|73855290|NULL|Clinical Professor|FACM|||CLIN PROF|2004-06-18
63540100|51240880|NULL|Physical Plant, Coordinator 4|TA12|||PHYSICAL PLANT, CRD 4|2003-12-01
29090700|63640031|NULL|Clinical Programs, Coordinator 3|TA12|||CLINICAL PROGRAMS, CRD 3|2013-04-22
11050000|58045320|NULL|Information Technology Expert|TA12|||IT EXPERT|1999-03-12
16240100|12762374|NULL|Courtesy Postdoctoral Associate|CTSY|||CO POSTDOC ASO|2013-01-01
60354008|65717620|NULL|County Extension Director  and  Extension Agent III|FA12|||CTY EXT DIR & EXT AGENT III|2000-10-13
18010000|90068630|NULL|Business Administrative Specialist III|TA12|||BUSINESS ADMIN SPECIALIST III|2003-06-09
18080000|88921481|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2013-08-16
33120000|00649139|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2006-02-23
16360100|98941180|NULL|Adjunct Lecturer|OF12|||ADJ LECTURER|2014-07-01
23030000|04771152|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2011-01-01
26030100|21259100|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2004-09-09
35010800|71964180|NULL|Clinical Programs, Coordinator 3|TA09|||CLINICAL PROGRAMS, CRD 3|2001-08-10
24010000|87547990|NULL|Adjunct Professor|OF09|||ADJ PROF|2008-08-16
24010000|65418361|NULL|Adjunct Professor|OF09|||ADJ PROF|2013-08-16
18050000|71641850|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2009-08-16
56022400|94623445|NULL|Associate Chair  and  Curator|FA12|||ASO CHAIR & CURATOR|2004-06-01
13040100|26199936|NULL|Fine Arts Production Specialist|TU2E|||FINE ARTS PRODUCTION SPEC|2008-10-06
19010500|35291960|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2002-08-09
29130000|79522132|NULL|Chief Resident|HOUS|||CHIEF RESIDENT|2010-07-01
23020100|48406261|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2009-01-01
29080100|16931150|NULL|Chief Resident|HOUS|||CHIEF RESIDENT|2005-05-06
16880100|21514193|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2013-05-16
27010716|82761430|NULL|Information Technology Expert|TA12|||IT EXPERT|2005-09-19
23030000|84909129|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2011-08-16
60090000|74177280|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2006-01-12
16800000|52694570|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2004-06-18
30170000|08934030|NULL|Chief Resident|HOUS|||CHIEF RESIDENT|2004-08-23
29010808|04445610|NULL|Information Technology Expert|TA12|||IT EXPERT|2012-10-08
34170402|99415143|NULL|Courtesy Clinical Postdoctoral Associate|CTSY|||CO CLIN POSTDOC ASO|2013-07-01
60290000|37781101|NULL|Associate Director  and  Lecturer|FA12|||ASO DIR & LECTURER|2014-08-01
14900100|98829909|NULL|End User Computing Specialist 3|TA12|||END USER COMPUTING SPEC 3|2004-06-14
56010500|93177350|NULL|Information Technology Expert|TA12|||IT EXPERT|2000-10-23
29040100|91990290|NULL|Information Technology Expert|TA12|||IT EXPERT|2003-08-29
30090000|60965166|NULL|Clinical Programs, Coordinator 3|TA12|||CLINICAL PROGRAMS, CRD 3|2013-09-06
29011800|50507600|NULL|Assistant Dean 5|TA12|||ASSISTANT DEAN 5|1994-04-25
23030000|61785328|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2007-04-06
33060000|80066638|NULL|Adjunct Lecturer|OF12|||ADJ LECTURER|2013-04-08
33080000|97830810|NULL|Adjunct Lecturer|OF12|||ADJ LECTURER|2006-10-20
23010200|95656420|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2013-08-16
29110000|65894010|NULL|Courtesy Clinical Professor|CTSY|||CO CLIN PROF|2004-06-18
18080000|61988218|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2013-08-19
57820600|99553490|NULL|Museum Operations, Coordinator 3|TA12|||MUSEUM OPERATIONS, CRD 3|2004-06-18
57130303|47078750|NULL|Biological Scientist|TU2E|||BIOLOGICAL SCIENTIST|1981-10-16
