DEPTID|UFID|JOBCODE|SAL_ADMIN_PLAN|START_DATE|END_DATE|JOBCODE_DESCRIPTION|HR_POSITION
60790000|51870140|1027|US2E|1998-07-10|NULL|MAINTENANCE SPV, SR|1
52010000|17175591|1573|OF12|2013-04-19|NULL|ACADEMIC LUMP SUM PAYMENT|1
28311200|05322200|1568|TU2N|2005-02-04|NULL|VETERINARY TECH 2|1
26020100|78086985|1573|OF12|2013-07-26|NULL|ACADEMIC LUMP SUM PAYMENT|1
67010000|19496512|1479|OPSN|2007-06-15|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
52033000|41136120|1573|OF12|2007-02-19|NULL|ACADEMIC LUMP SUM PAYMENT|1
28311001|60658081|1479|OPSN|2011-04-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
16200000|21587470|908|US2N|1987-09-28|NULL|PROGRAM AST|1
18080000|98818720|1573|OF12|2014-06-20|NULL|ACADEMIC LUMP SUM PAYMENT|1
29120000|07588451|743|CTSY|2012-01-03|NULL|CO AST PROF|1
33050000|08504030|908|TU2N|2008-06-30|NULL|PROGRAM AST|1
29050405|31481840|1573|OF12|2012-07-06|NULL|ACADEMIC LUMP SUM PAYMENT|1
52010000|20669300|1573|OF12|2011-02-18|NULL|ACADEMIC LUMP SUM PAYMENT|1
56022400|00030914|1479|OPSN|2009-08-31|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
19050000|51509500|54|OF09|2008-06-30|NULL|ADJ PROF|1
25010000|49909176|743|CTSY|2000-01-01|NULL|CO AST PROF|1
52020200|95006693|1573|OF12|2008-07-25|NULL|ACADEMIC LUMP SUM PAYMENT|1
60860000|91983729|1479|OPSN|2009-08-14|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
52010000|64330820|1573|OF12|2010-06-02|NULL|ACADEMIC LUMP SUM PAYMENT|1
18180100|62406873|1573|OF12|2008-12-12|NULL|ACADEMIC LUMP SUM PAYMENT|1
29091200|76144930|1479|OPSN|2013-09-09|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
18180500|69482470|1573|OF12|2008-05-30|NULL|ACADEMIC LUMP SUM PAYMENT|1
29030101|89891442|1479|OPSN|2014-02-28|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
16382000|51180302|1479|OPSN|2014-04-07|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29051402|62941762|1479|OPSN|2014-07-03|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60450000|55356960|816|US2N|1988-02-05|NULL|EXTENSION PROGRAM AST|1
19050000|83909090|820|TU2N|1993-01-15|NULL|OFFICE MGR|1
60090000|11617163|743|CTSY|2010-10-04|NULL|CO AST PROF|1
67010000|65021953|1479|OPSN|2013-08-16|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29170000|59441081|1573|HOUS|2014-03-21|NULL|ACADEMIC LUMP SUM PAYMENT|1
23120100|95990929|1479|OPSN|2014-05-06|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60212100|00138980|1479|OPSN|2011-01-05|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
52010000|21435121|1573|OF12|2005-05-20|NULL|ACADEMIC LUMP SUM PAYMENT|1
29350100|11517199|820|TU2N|2005-02-08|NULL|OFFICE MGR|1
28090000|77560740|1573|OF12|2008-08-20|NULL|ACADEMIC LUMP SUM PAYMENT|1
16040100|94074604|537|GA09|2011-05-27|NULL|GRADUATE TCH ASO|1
16200000|22615515|396|FELL|2012-08-16|NULL|PREDOC FELLOWSHIP|1
63550400|00930191|1053|TU2N|2011-01-03|NULL|MAINTENANCE SPECIALIST|1
16200100|14749111|538|GA09|2010-08-16|NULL|GRADUATE RES AST|1
16200100|63024729|396|FELL|2013-08-16|NULL|PREDOC FELLOWSHIP|1
29060000|27559903|939|TU2E|2011-05-31|NULL|BIOLOGICAL SCIENTIST|1
26010600|60351995|1479|OPSN|2010-01-23|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
11300000|94172573|944|TU2E|2008-02-19|NULL|LABORATORY MGR|1
32060501|93552685|1479|OPSN|2012-08-27|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
15020100|53661500|743|CTSY|2013-08-16|NULL|CO AST PROF|1
17200400|69531869|326|FA12|2009-06-01|NULL|PRG DIR & ASO IN|1
70010000|72335997|1479|OPSN|2014-07-07|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
17010800|14767794|1479|OPSN|2014-07-15|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
31010700|30344120|908|US2N|2001-11-16|NULL|PROGRAM AST|1
16900000|86146920|743|CTSY|2011-10-11|NULL|CO AST PROF|1
52010000|83191930|397|OF12|2004-10-08|NULL|SCH DIR & PROF|1
56010000|41600240|892|TU2N|1999-04-02|NULL|AUDIO-VISUAL SPEC|1
32060000|97280250|182|CTSY|2004-06-18|NULL|CO CLIN PROF|1
57140100|91839710|141|CTSY|2004-06-18|NULL|AFFL LECTURER|1
64405000|33211178|827|TU2N|2008-09-19|NULL|PROPERTY MGR|1
16200000|95988964|396|FELL|2012-08-16|NULL|PREDOC FELLOWSHIP|1
56021300|45351463|1479|OPSN|2013-10-11|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
57140100|13700480|131|CTSY|2004-06-18|NULL|AFFL ASO SCHOLAR|1
29150000|12697830|908|US2N|1990-11-15|NULL|PROGRAM AST|1
29080100|91334301|1479|OPSN|2009-10-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
30290000|90965577|1479|OPSN|2013-09-09|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
19070000|14043621|1479|OPSN|2010-07-10|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29070100|88107710|908|US2N|1987-10-07|NULL|PROGRAM AST|1
12020200|93955395|396|FELL|2012-08-16|NULL|PREDOC FELLOWSHIP|1
14800000|53438701|1834|TA12|2007-01-19|NULL|IT ANALYST 2|1
29050400|99145845|743|CTSY|2012-03-28|NULL|CO AST PROF|1
28090000|69048925|743|CTSY|2013-02-01|NULL|CO AST PROF|1
60354036|07176628|434|FA12|2007-06-01|NULL|EXT AGENT III|1
16200000|11003489|396|FELL|2012-08-16|NULL|PREDOC FELLOWSHIP|1
52020000|55401710|1573|OF12|2004-08-13|NULL|ACADEMIC LUMP SUM PAYMENT|1
60352010|55261100|434|FA12|2007-10-19|NULL|EXT AGENT III|1
60770000|82681844|1479|OPSN|2013-09-20|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29300500|15153952|908|TU2N|2007-07-09|NULL|PROGRAM AST|1
11300000|64583883|1479|OPSN|2014-03-11|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
13030100|28222660|1479|OPSN|2013-01-02|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
06030000|78938145|1484|FWSP|2008-09-05|NULL|STU AST - FEDERAL COMM SERVICE|1
52032000|46801798|1479|OPSN|2006-12-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60732000|19119039|1479|OPSN|2013-10-15|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
52010000|31660650|1573|OF12|2006-11-17|NULL|ACADEMIC LUMP SUM PAYMENT|1
16980300|51074932|1479|OPSN|2013-04-20|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60260000|54996996|1479|OPSN|2014-05-08|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
12020100|54656621|396|FELL|2010-08-16|NULL|PREDOC FELLOWSHIP|1
60354058|55488473|434|FA12|2005-03-19|NULL|EXT AGENT III|1
35010700|95364456|1573|OF12|2013-09-27|NULL|ACADEMIC LUMP SUM PAYMENT|1
52010000|27349480|1573|OF12|2008-01-01|NULL|ACADEMIC LUMP SUM PAYMENT|1
60140000|93319720|945|US2E|1989-09-15|NULL|LABORATORY, SR TEACHING SPEC|1
17200400|91212560|1441|TA12|2006-06-12|NULL|CAREER DEVEL SVCS, CRD 3|1
52020000|15111376|908|TU2N|2012-10-01|NULL|PROGRAM AST|1
60800000|70667430|1479|OPSN|1995-04-07|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
18180600|75114660|1573|OF12|2008-05-30|NULL|ACADEMIC LUMP SUM PAYMENT|1
60754100|25347845|1479|OPSN|2013-03-18|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
32060501|96939994|1479|OPSN|2014-06-26|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
15010000|69659706|1479|OPSN|2014-01-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60733000|88979659|1479|OPSN|2013-04-23|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
28011502|21156040|1246|TA12|1990-08-01|NULL|INFO/PUB SVCS, AST DIR 4|1
28011702|73190419|1479|OPSN|2008-06-03|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
18180000|69469408|1573|GA12|2013-05-16|NULL|ACADEMIC LUMP SUM PAYMENT|1
60330000|17794373|1479|OPSN|2010-05-17|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60410000|71018680|1476|TA12|1991-05-10|NULL|IT EXPERT|1
15010000|59603515|1479|OPSN|2012-10-26|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
19020000|12119865|1479|OPSN|2013-05-20|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
11900000|29873490|908|TU2N|1997-11-17|NULL|PROGRAM AST|1
16380000|55037010|396|FELL|2011-08-16|NULL|PREDOC FELLOWSHIP|1
12020100|13181196|396|FELL|2010-08-16|NULL|PREDOC FELLOWSHIP|1
16880100|56404934|396|FELL|2011-08-16|NULL|PREDOC FELLOWSHIP|1
18180300|74798537|1479|OPSN|2013-08-22|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
57130100|93146949|1164|TA12|2007-09-17|NULL|EDUC/TRAINING PROGS, CRD 1|1
11260000|99819338|904|TU2E|2014-06-09|NULL|MARKETING REP|1
60733000|26370040|938|TU2N|1980-09-04|NULL|LABORATORY TECH, SR|1
29040200|09122910|789|FACM|1981-02-01|NULL|CLIN PROF|1
57130302|95858113|1479|OPSN|2009-12-10|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
07700100|38572070|1210|TA12|2008-11-26|NULL|UNIV HOUSING, CRD 2|1
30090000|11344657|1479|OPSN|2012-12-07|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
32060501|71207784|1479|OPSN|2014-04-21|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29120000|54324630|1345|TA12|2006-06-19|NULL|EDUC/TRAINING PROGS, CRD 3|1
16120100|37544070|945|US2E|1991-03-01|NULL|LABORATORY, SR TEACHING SPEC|1
11010000|54997730|1573|OF12|2009-04-24|NULL|ACADEMIC LUMP SUM PAYMENT|1
16360100|93854953|396|FELL|2013-08-16|NULL|PREDOC FELLOWSHIP|1
60210000|91782889|396|FELL|2013-09-16|NULL|PREDOC FELLOWSHIP|1
07110000|64302643|1066|TU2N|2010-03-01|NULL|CUSTODIAL SPV|1
32080300|31048300|1573|OF12|2012-01-25|NULL|ACADEMIC LUMP SUM PAYMENT|1
52010000|87647670|1573|OF12|2006-08-29|NULL|ACADEMIC LUMP SUM PAYMENT|1
60460000|14015937|1479|OPSN|2011-02-25|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
19221100|40659480|1479|OPSN|1968-04-15|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60330000|01847347|1479|OPSN|2008-06-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
30090000|98089559|1335|TA12|2013-09-06|NULL|CLINICAL PROGRAMS, CRD 3|1
34100300|13594628|1479|OPSN|2011-10-28|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
19050000|15540530|908|TU2N|2014-06-23|NULL|PROGRAM AST|1
63520300|36663246|1033|TU2N|2009-10-19|NULL|GROUNDSKEEPER|1
63520300|63917381|1033|TU2N|2012-11-13|NULL|GROUNDSKEEPER|1
27010400|29143131|1274|TA12|2012-11-29|NULL|INFO/PUBLICATIONS SVCS, DIR 4|1
52032000|03069983|1479|OPSN|2007-09-21|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
14200850|94156994|1479|OPSN|2011-08-22|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
55030100|58869196|1592|TU2N|2008-08-15|NULL|LIBRARY ASSISTANT 2|1
11200000|61019450|908|TU2N|2011-01-28|NULL|PROGRAM AST|1
34060500|74366835|1479|OPSN|2013-10-14|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29290100|81965875|1479|OPSN|2012-06-18|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29030101|12120999|1479|OPSN|2010-08-20|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
12010000|10097741|396|FELL|2013-08-16|NULL|PREDOC FELLOWSHIP|1
03020000|96738376|908|TU2N|2013-03-01|NULL|PROGRAM AST|1
68040000|75287870|1107|US2N|1997-09-26|NULL|CAMPUS PARKING PATROLLER|1
28040000|56465650|743|CTSY|2011-02-07|NULL|CO AST PROF|1
60100000|91678561|939|TU2E|2004-12-03|NULL|BIOLOGICAL SCIENTIST|1
12020100|29943879|396|FELL|2012-08-16|NULL|PREDOC FELLOWSHIP|1
64801000|91246630|1171|TA12|1989-02-06|NULL|CONTROLLER, ASSOCIATE 5|1
52010000|16187099|1573|OF12|2008-02-22|NULL|ACADEMIC LUMP SUM PAYMENT|1
60460000|02551230|1479|OPSN|2013-11-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
30090000|06176586|908|TU2N|2014-04-21|NULL|PROGRAM AST|1
06030000|51491819|1484|FWSP|2013-09-05|NULL|STU AST - FEDERAL COMM SERVICE|1
52010000|41690123|1573|OF12|2014-05-23|NULL|ACADEMIC LUMP SUM PAYMENT|1
18180400|51411475|1573|OF12|2010-04-01|NULL|ACADEMIC LUMP SUM PAYMENT|1
14200350|13119953|1479|OPSN|2012-03-15|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60140000|29725220|1479|OPSN|2013-06-07|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
64405000|23519859|865|TU2N|2012-01-20|NULL|IT INTERMEDIATE|1
52061000|44508090|1573|OF12|2008-08-29|NULL|ACADEMIC LUMP SUM PAYMENT|1
52010000|64205260|1573|OF12|2005-05-06|NULL|ACADEMIC LUMP SUM PAYMENT|1
29051402|46481410|321|FACM|2004-06-18|NULL|PRG DIR & ASO PROF|1
29160204|29881360|908|TU2N|1999-06-25|NULL|PROGRAM AST|1
32080300|17180948|1573|OF12|2010-03-29|NULL|ACADEMIC LUMP SUM PAYMENT|1
07700100|44349781|1261|TA12|2008-04-18|NULL|STUDENT AFFAIRS, , CRD 1|1
16980300|55364463|1479|OPSN|2013-10-05|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29190000|51427982|291|FACM|2006-01-17|NULL|CHIEF & PROF|1
28050000|85183441|1479|OPSN|2014-07-10|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
18180300|56397601|1479|OPSN|2014-07-24|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
16240100|50418295|1479|OPSN|2014-05-23|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
16860100|84145447|67|OF09|2010-08-16|NULL|ADJ LECTURER|1
60320000|15730954|1479|OPSN|2014-07-14|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60170000|53156850|743|CTSY|2004-06-18|NULL|CO AST PROF|1
60451000|33467171|1479|OPSN|2012-10-04|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60100000|50137999|1479|OPSN|2014-08-08|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
33030000|62416260|67|OF12|2012-01-06|NULL|ADJ LECTURER|1
24010000|22446901|54|OF09|2005-01-01|NULL|ADJ PROF|1
23010200|80959038|67|OF09|2013-08-16|NULL|ADJ LECTURER|1
32060300|93090460|141|CTSY|2005-12-07|NULL|AFFL LECTURER|1
19020000|51903133|1479|OPSN|2014-05-16|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
52010000|39566680|1573|OF12|2011-07-08|NULL|ACADEMIC LUMP SUM PAYMENT|1
33070000|48964846|1479|OPSN|2014-07-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
56022301|81143921|1479|OPSN|2014-07-18|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
30070000|84608450|294|HOUS|2005-05-16|NULL|CHIEF RESIDENT|1
19020000|65342549|1479|OPSN|2014-07-28|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
15040000|76861600|67|OF09|2014-01-01|NULL|ADJ LECTURER|1
32060300|96992138|141|CTSY|2005-08-26|NULL|AFFL LECTURER|1
60210000|63733857|1479|OPSN|2014-07-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
63700100|47188260|929|TU2E|1998-03-13|NULL|ENGINEERING TECH, SR|1
33070000|90939426|1479|OPSN|2013-07-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60770000|68627120|1479|OPSN|2014-06-09|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
30220000|62246490|294|HOUS|2006-12-01|NULL|CHIEF RESIDENT|1
31010400|85189129|1479|OPSN|2014-07-29|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60140000|35291031|538|GA12|2014-08-16|NULL|GRADUATE RES AST|1
29080100|51454572|67|OF12|2013-05-01|NULL|ADJ LECTURER|1
60180000|08350730|1573|OF12|2013-08-09|NULL|ACADEMIC LUMP SUM PAYMENT|1
60070000|26628085|1479|OPSN|2012-03-15|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60770000|82528970|1479|OPSN|1994-07-05|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
28311001|86986850|1479|OPSN|2013-08-02|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
19010200|19498858|1194|TA12|2014-08-11|NULL|ACADEMIC SUPP SVCS, AST DIR 3|1
29190000|45158937|1479|OPSN|2012-02-17|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
16340100|93617195|805|TU2N|2007-05-17|NULL|SECRETARY, SR|1
27010717|11644300|1476|TA12|2004-01-05|NULL|IT EXPERT|1
19020000|73265765|67|OF09|2014-08-16|NULL|ADJ LECTURER|1
28090000|31161114|1479|OPSN|2013-09-13|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
16940100|94991558|67|OF09|2005-08-16|NULL|ADJ LECTURER|1
29140300|13438109|1479|OPSN|2014-05-12|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29080100|98434141|1479|OPSN|2014-08-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
56020500|18159575|1479|OPSN|2006-07-14|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29040100|70703040|908|TU2N|2002-09-30|NULL|PROGRAM AST|1
60060000|26206371|1479|OPSN|2008-09-18|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
33040000|17484241|67|OF12|2009-01-01|NULL|ADJ LECTURER|1
28090000|46296673|1479|OPSN|2014-07-11|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60470000|99614399|1479|OPSN|2012-08-16|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
13040100|13688400|67|OF09|1993-08-13|NULL|ADJ LECTURER|1
60190000|59969673|743|CTSY|2005-01-01|NULL|CO AST PROF|1
19070000|74139071|1479|OPSN|2014-05-20|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60733000|73988871|1479|OPSN|2009-01-05|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29090100|19148178|1479|OPSN|2007-06-25|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
56021300|93967978|1479|OPSN|2014-07-15|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
23040000|44276380|67|OF09|1993-10-22|NULL|ADJ LECTURER|1
33080000|51313710|1479|OPSN|2013-01-28|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
28090000|70922937|1479|OPSN|2013-02-26|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60090000|86506333|939|TU2E|2013-10-01|NULL|BIOLOGICAL SCIENTIST|1
16360100|01184505|1479|OPSN|2014-06-03|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
16200100|14158159|538|GA09|2011-08-16|NULL|GRADUATE RES AST|1
18080000|38047330|54|OF09|1975-08-30|NULL|ADJ PROF|1
18080000|94676650|67|OF09|2006-08-16|NULL|ADJ LECTURER|1
13030100|86716810|67|OF09|2014-08-16|NULL|ADJ LECTURER|1
33040000|35180200|789|FA12|1998-06-12|NULL|CLIN PROF|1
60210000|84940950|1479|OPSN|2011-06-10|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
16860100|40604922|67|OF09|2010-08-16|NULL|ADJ LECTURER|1
52010000|69811998|1573|OF12|2014-06-06|NULL|ACADEMIC LUMP SUM PAYMENT|1
60090000|29961924|1479|OPSN|2014-06-13|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
31010450|91367875|1479|OPSN|2014-06-06|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
57201000|96398841|1479|OPSN|2014-08-22|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60152300|53818708|200|FA12|2009-01-05|NULL|RES ASO SCTST|1
19070000|34354968|1479|OPSN|2012-01-19|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29110000|24984619|1479|OPSN|2014-06-02|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
14020000|23505610|1812|TA12|1989-12-26|NULL|APPLICATION DEVELOPER ANLST 3|1
29170000|90531170|294|HOUS|2010-07-01|NULL|CHIEF RESIDENT|1
03020000|95692680|1479|OPSN|2006-09-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60754000|53920140|743|CTSY|2004-06-18|NULL|CO AST PROF|1
60730000|89422570|743|CTSY|1989-03-01|NULL|CO AST PROF|1
60140000|15522461|1479|OPSN|2009-12-07|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
20010000|56191620|1573|OF12|2004-07-30|NULL|ACADEMIC LUMP SUM PAYMENT|1
60150000|95464000|805|US2N|1986-05-12|NULL|SECRETARY, SR|1
30090000|47683158|1334|TA12|2013-09-06|NULL|CLINICAL PROGRAMS, CRD 2|1
18050000|40666493|1479|OPSN|2008-06-30|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
04030000|79627000|908|TU2N|2002-08-05|NULL|PROGRAM AST|1
29680240|95547340|1476|TA12|2014-05-12|NULL|IT EXPERT|1
23010000|47593981|1573|OF12|2008-09-05|NULL|ACADEMIC LUMP SUM PAYMENT|1
16360100|07340990|1479|OPSN|2008-01-11|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
06030000|11646132|1484|FWSP|2010-09-17|NULL|STU AST - FEDERAL COMM SERVICE|1
12020500|34391619|396|FELL|2014-06-25|NULL|PREDOC FELLOWSHIP|1
17210600|55697740|1476|TA12|2006-08-16|NULL|IT EXPERT|1
29290100|91994456|1479|OPSN|2013-09-14|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
