uri	name	issn	eissn	
	American Journal of Audiology	1059-0889	1558-9137	
	American Journal of Bioethics	1526-5161	1536-0075	
	American Journal of Botany	Feb-22	1537-2197	
	American Journal of Cancer Research	2156-6976		
	American Journal of Cardiovascular Drugs	1175-3277	1179-187X	
	American Journal of Chinese Medicine	0192-415X	1793-6853	
	American Journal of Clinical Hypnosis	Feb-57	2160-0562	
	American Journal of Clinical Oncology	0277-3732	1537-453X	
	American Journal of Clinical Pathology	Feb-73	1943-7722	
	American Journal of Community Psychology	0091-0562	1573-2770	
	American Journal of Dentistry	0894-8275		
	American Journal of Dermatopathology	0193-1091	1533-0311	
	American Journal of Drug and Alcohol Abuse	0095-2990	1097-9891	
	American Journal of Economics and Sociology	Feb-46	1536-7150	
	American Journal of Enology and Viticulture	Feb-54	1943-7749	
	American Journal of Epidemiology	Feb-62	1476-6256	
	American Journal of Forensic Medicine and Pathology	0195-7910		
	American Journal of Gastroenterology	Feb-70	1572-0241	
	American Journal of Health Behavior	1945-7359		
	American Journal of Health Behavior	1087-3244	1945-7359	
	American Journal of Health Promotion	0890-1171	2168-6602	
	American Journal of Health Studies	1090-0500	1945-4511	
	American Journal of Health-System Pharmacy	1079-2082	1535-2900	
	American Journal of Hematology	0361-8609	1096-8652	
	American Journal of Human Biology	1042-0533	1520-6300	
	American Journal of Human Genetics	Feb-97	1537-6605	
	American Journal of Hypertension	0895-7061	1941-7225	
	American Journal of Industrial Medicine	0271-3586	1097-0274	
	American Journal of Infection Control	0196-6553	1527-3296	
	American Journal of International Law	Feb-00	2161-7953	
	American Journal of Kidney Diseases	0272-6386	1523-6838	
	American Journal of Mathematics	Feb-27	1080-6377	
	American Journal of Medical Genetics	0148-7299		
	American Journal of Medical Genetics Part B-Neuropsychiatric Genetics	1552-4841	1552-485X	
	American Journal of Medical Genetics Part a	1552-4825	1552-4833	
	American Journal of Medical Genetics. Part C: Seminars in Medical Genetics	1552-4868	1552-4876	
	American Journal of Medical Quality	1062-8606	1555-824X	
	American Journal of Medicine	Feb-43	1555-7162	
	American Journal of Mens Health	1557-9883	1557-9891	
	American Journal of Mental Retardation	1721-3959	0895-8017	
	American Journal of Nephrology	0250-8095	1421-9670	
	American Journal of Neuroradiology	0195-6108	1936-959X	
	American Journal of Obstetrics and Gynecology	Feb-78	1097-6868	
	American Journal of Ophthalmology	Feb-94	1879-1891	
	American Journal of Orthodontics and Dentofacial Orthopedics	0889-5406	1097-6752	
	American Journal of Orthopsychiatry	Feb-32		
	American Journal of Otolaryngology	0196-0709	1532-818X	
	American Journal of Perinatology	0735-1631	1098-8785	
	American Journal of Pharmaceutical Education	Feb-59	1553-6467	
	American Journal of Pharmacogenomics	1175-2203		
	American Journal of Physical Anthropology	Feb-83	1096-8644	
	American Journal of Physical Medicine and Rehabilitation	0894-9115	1537-7385	
	American Journal of Physics	Feb-05	1943-2909	
	American Journal of Physiology	Feb-13		
	American Journal of Physiology-Renal Physiology	1931-857X	1522-1466	
	American Journal of Physiology: Cell Physiology	0363-6143	1522-1563	
	American Journal of Physiology: Endocrinology and Metabolism	0193-1849	1522-1555	
	American Journal of Physiology: Gastrointestinal and Liver Physiology	0193-1857	1522-1547	
	American Journal of Physiology: Heart and Circulatory Physiology	0363-6135	1522-1539	
	American Journal of Physiology: Lung Cellular and Molecular Physiology	1040-0605	1522-1504	
	"American Journal of Physiology: Regulatory	 Integrative and Comparative Physiology"	0363-6119	1522-1490	
	American Journal of Political Science	0092-5853		
	American Journal of Potato Research	1099-209X		
	American Journal of Preventive Medicine	0749-3797	1873-2607	
	American Journal of Primatology	0275-2565	1098-2345	
	American Journal of Psychoanalysis	Feb-48	1573-6741	
	American Journal of Psychology	Feb-56	1939-8298	
	American Journal of Public Health	0090-0036	1541-0048	
	American Journal of Reproductive Immunology and Microbiology	8755-8920	1600-0897	
	American Journal of Respiratory Cell and Molecular Biology	1044-1549	1535-4989	
	American Journal of Respiratory and Critical Care Medicine	1073-449X	1535-4970	
	American Journal of Rhinology	1050-6586	1539-6290	
	American Journal of Roentgenology	0361-803X	1546-3141	
	American Journal of Sociology	Feb-02		
	American Journal of Speech-Language Pathology	1058-0360		
	American Journal of Therapeutics	1075-2765	1536-3686	
	American Journal of Translational Research	1943-8141		
	American Journal of Transplantation	1600-6135	1600-6143	
	American Journal of Veterinary Research	Feb-45	1943-5681	
	American Journal of the Medical Sciences	Feb-29		
	American Literary History	0896-7148		
	American Literary Realism	1540-3084	1940-5103	
	American Literature	Feb-31	1527-2117	
	American Malacological Bulletin	0740-2783	2162-2698	
	American Mathematical Monthly	Feb-90	1930-0972	
	American Midland Naturalist	0003-0031	1938-4238	
	American Mineralogist	0003-004X	1945-3027	
	American Museum Novitates	0003-0082	1937-352X	
	American Nineteenth Century History	1466-4658	1743-7903	
	American Political Science Review	0003-0554	1537-5943	
	American Politics Research	1532-673X	1552-3373	
	American Psychologist	0003-066X	1935-990X	
	American Quarterly	0003-0678	1080-6490	
	American Scholar	0003-0937	2162-2892	
	American Scientist	0003-0996	1545-2786	
	American Statistician	0003-1305	1537-2731	
	Americas	0003-1615	1533-6247	
	Amino Acids	0939-4451	1438-2199	
	Amphibia-Reptilia	0173-5373	1568-5381	
	Anaerobe	1075-9964	1095-8274	
	Anales De La Literatura Espanola Contemporanea	0272-1635		
	Analyses of Social Issues and Public Policy	1529-7489	1530-2415	
	Analysis	Mar-38	1467-8284	
	Analytica Chimica Acta	Mar-70	1873-4324	
	Analytical Biochemistry	Mar-97	1096-0309	
	Analytical Chemistry	Mar-00	1520-6882	
	Analytical Letters	Mar-19		
	Analytical Methods	1759-9660		
	Analytical and Quantitative Cytology and Histology	0884-6812		
	Analytical chemistry	1520-6882		
	Anatomical Record-Advances in Integrative Anatomy and Evolutionary Biology	1932-8486	1932-8494	
	Anatomical Sciences Education	1935-9772	1935-9780	
	Anatomy and Embryology	0340-2061	1432-0568	
	Ancient Mesoamerica	0956-5361	1469-1787	
	Anesthesia and Analgesia	Mar-99	1526-7598	
	Anesthesiology	Mar-22	1528-1175	
	Angelaki-Journal of the Theoretical Humanities	0969-725X	1469-2899	
	Angewandte Chemie	1433-7851	1521-3773	
	Angiogenesis	0969-6970	1573-7209	
	Angiology	Mar-97	1940-1574	
	Animal	1751-7311	1751-732X	
	Animal Behaviour	Mar-72	1095-8282	
	Animal Biology	1570-7555	1570-7563	
	Animal Biotechnology	1049-5398	1532-2378	
	Animal Conservation	1367-9430	1469-1795	
	Animal Feed Science and Technology	0377-8401	1873-2216	
	Animal Genetics	0268-9146		
	Animal Health Research Reviews	1466-2523	1475-2654	
	Animal Production Science	1836-0939	1836-5787	
	Animal Reproduction	1806-9614		
	Animal Reproduction Science	0378-4320	1873-2232	
	Animation-An Interdisciplinary Journal	1746-8477	1746-8485	
	Annales De Biologie Clinique	Mar-98		
	Annales De Dermatologie Et De Venereologie	0151-9638		
	Annales De L Institut Fourier	0373-0956	1777-5310	
	Annales De L Institut Henri Poincare-Analyse Non Lineaire	0294-1449	1873-1430	
	Annales De La Societe Entomologique De France	0037-9271		
	Annales De Limnologie-International Journal of Limnology	Mar-88	2100-000X	
	Annales Zoologici	Mar-41		
	Annales Zoologici Fennici	0003-455X		
	"Annals of Allergy	 Asthma & Immunology"	1081-1206	1534-4436	
	Annals of Applied Biology	Mar-46	1744-7348	
	Annals of Applied Probability	1050-5164		
	Annals of Applied Statistics	1932-6157	1941-7330	
	Annals of Behavioral Medicine	0883-6612	1532-4796	
	Annals of Biomedical Engineering	0090-6964	1573-9686	
	Annals of Botany	0305-7364	1095-8290	
	Annals of Cardiac Anaesthesia	0971-9784	0974-5181	
	Annals of Clinical & Laboratory Science	0091-7370	1550-8080	
	Annals of Clinical Psychiatry	1040-1237	1547-3325	
	Annals of Combinatorics	0218-0006	0219-3094	
	Annals of Diagnostic Pathology	1092-9134		
	Annals of Dyslexia	0736-9387	1934-7243	
	Annals of Emergency Medicine	0196-0644	1097-6760	
	Annals of Epidemiology	1047-2797		
	Annals of Family Medicine	1544-1709	1544-1717	
	Annals of Glaciology	0260-3055	1727-5644	
	Annals of Hematology	0939-5555	1432-0584	
	Annals of Human Biology	0301-4460		
	Annals of Internal Medicine	Mar-19	1539-3704	
	Annals of Mathematics	0003-486X	1939-8980	
	Annals of Mathematics and Artificial Intelligence	1012-2443	1573-7470	
	Annals of Medicine	0785-3890	1365-2060	
	Annals of Neurology	0364-5134	1531-8249	
	Annals of Noninvasive Electrocardiology	1082-720X	<p>1542-474X</p>	
	Annals of Nuclear Energy	0306-4549	<p>1873-2100</p>	
	Annals of Nuclear Medicine	0914-7187	1864-6433	
	Annals of Nutrition and Metabolism	0250-6807	1421-9697	
	Annals of Occupational Hygiene	Mar-78	1475-3162	
	Annals of Oncology	0923-7534	1569-8041	
	Annals of Operations Research	0254-5330	1572-9338	
	Annals of Otology Rhinology and Laryngology	Mar-94	1943-572X	
	Annals of Physics	Mar-16	1096-035X	
	Annals of Plastic Surgery	0148-7043	1536-3708	
	Annals of Pure and Applied Logic	0168-0072	1873-2461	
	Annals of Statistics	0090-5364	2168-8966	
	Annals of Surgery	Mar-32	1528-1140	
	Annals of Surgical Oncology	1068-9265	1534-4681	
	Annals of Thoracic Medicine	1817-1737		
	Annals of Tourism Research	0160-7383	1873-7722	
	Annals of Transplantation	1425-9524		
	Annals of Tropical Medicine & Parasitology	Mar-83	1364-8594	
	Annals of Vascular Surgery	0890-5096	1615-5947	
	Annals of the American Academy of Political and Social Science	Feb-62	1552-3349	
	Annals of the Association of American Geographers	Apr-08	1467-8306	
	Annals of the Entomological Society of America	0013-8746	1938-2901	
	Annals of the Institute of Statistical Mathematics	0020-3157	1572-9052	
	Annals of the Missouri Botanical Garden	0026-6493	2162-4372	
	Annals of the New York Academy of Sciences	0077-8923	1749-6632	
	Annals of the Rheumatic Diseases	Mar-67		
	Annual Review of Anthropology	0084-6570	1545-4290	
	Annual Review of Biochemistry	0066-4154	1545-4509	
	Annual Review of Entomology	0066-4170	1545-4487	
	Annual Review of Fluid Mechanics	0066-4189	1545-4479	
	Annual Review of Genetics	0066-4197	1545-2948	
	Annual Review of Genomics and Human Genetics	1527-8204	1545-293X	
	Annual Review of Marine Science	1941-1405	1941-0611	
	Annual Review of Materials Research	1531-7331	1545-4118	
	Annual Review of Microbiology	0066-4227	1545-3251	
	Annual Review of Nutrition	0199-9885	1545-4312	
	Annual Review of Physiology	0066-4278	1545-1585	
	Annual Review of Phytopathology	0066-4286	1545-2107	
	Annual Review of Plant Biology	1543-5008	1545-2123	
	Annual Review of Plant Physiology and Plant Molecular Biology	1040-2519		
	Annual Review of Psychology	0066-4308	1545-2085	
	Annual Reviews in Control	1367-5788		
	Antarctic Journal of the United States	Mar-35		
	Anthropological Quarterly	Mar-91	1534-1518	
	Anthropos	0257-9774		
	Anti-Cancer Agents in Medicinal Chemistry	1871-5206	1875-5992	
	Anti-Cancer Drugs	0959-4973	1473-5741	
	Anticancer Research	0250-7005	1791-7530	
	Antimicrobial Agents and Chemotherapy	0066-4804	1098-6596	
	Antioxidants and Redox Signaling	1523-0864	1557-7716	
	Antipode	0066-4812	1467-8330	
	Antiquity	0003-598X	1745-1744	
	Antitrust Law Journal	Mar-56		
	Antiviral Research	0166-3542	1872-9096	
	Antiviral Therapy	1359-6535	2040-2058	
	Antonie van Leeuwenhoek International Journal of General and Molecular Microbiology	Mar-72	1572-9699	
	Anxiety Stress and Coping	1061-5806	1477-2205	
	Apeiron	0843-6061		
	Aphasiology	0268-7038	1464-5041	
	Apidologie	0044-8435	1297-9678	
	Apl Materials	2166-532X		
	Apmis	0903-4641	1600-0463	
	Apoptosis	1360-8185	1573-675X	
	Appetite	0195-6663	1095-8304	
	Applications in Plant Sciences	2168-0450		
	Applications of Mathematics	0862-7940		
	Applied Animal Behaviour Science	0168-1591	1872-9045	
	Applied Biochemistry and Biotechnology	0273-2289	1559-0291	
	Applied Bioinformatics	1175-5636		
	Applied Catalysis A-General	0926-860X	1873-3875	
	Applied Catalysis B-Environmental	0926-3373	1873-3883	
	Applied Categorical Structures	0927-2852	1572-9095	
	Applied Clay Science	0169-1317	1872-9053	
	Applied Cognitive Psychology	0888-4080	1099-0720	
	Applied Developmental Science	1088-8691	1532-480X	
	Applied Economic Perspectives and Policy	2040-5790	2040-5804	
	Applied Economics	Mar-46	1466-4283	
	Applied Economics Letters	1350-4851	1466-4291	
	Applied Energy	0306-2619	1872-9118	
	Applied Engineering in Agriculture	0883-8542	1943-7838	
	Applied Entomology and Zoology	Mar-62		
	Applied Ergonomics	Mar-70	1872-9126	
	Applied Geochemistry	0883-2927	1872-9134	
	Applied Geography	0143-6228	1873-7730	
	Applied Herpetology	1570-7539	1570-7547	
	Applied Immunohistochemistry and Molecular Morphology	1541-2016	1533-4058	
	Applied Linguistics	0142-6001	1477-450X	
	Applied Magnetic Resonance	0937-9347	1613-7507	
	Applied Mathematical Modelling	0307-904X	1872-8480	
	Applied Mathematics Letters	0893-9659		
	Applied Mathematics and Computation	0096-3003	1873-5649	
	Applied Measurement in Education	0895-7347	1532-4818	
	Applied Microbiology and Biotechnology	0175-7598		
	Applied Numerical Mathematics	0168-9274	1873-5460	
	Applied Nursing Research	0897-1897	1532-8201	
	Applied Optics	1559-128X	2155-3165	
	Applied Physics A-Materials Science and Processing	0947-8396	1432-0630	
	Applied Physics Letters	Mar-51	1077-3118	
	Applied Physics Reviews	1931-9401		
	"Applied Physiology	 Nutrition	 and Metabolism"	1715-5312	1715-5320	
	Applied Psycholinguistics	0142-7164	1469-1817	
	Applied Psychology-An International Review-Psychologie Appliquee-Revue Internationale	0269-994X	1464-0597	
	Applied Psychophysiology and Biofeedback	1090-0586	1573-3270	
	Applied Radiation and Isotopes	0969-8043	1872-9800	
	Applied Soft Computing	1568-4946	1872-9681	
	Applied Soil Ecology	0929-1393	1873-0272	
	Applied Spectroscopy	Mar-28	1943-3530	
	Applied Stochastic Models in Business and Industry	1524-1904	1526-4025	
	Applied Surface Science	0169-4332	1873-5584	
	Applied Thermal Engineering	1359-4311	1873-5606	
	Applied Vegetation Science	1402-2001	1654-109X	
	Applied and Computational Mathematics	1683-3511	1683-6154	
	Applied and Environmental Microbiology	0099-2240	1098-5336	
	Aquacultural Engineering	0144-8609	1873-5614	
	Aquaculture	0044-8486	1873-5622	
	Aquaculture Economics and Management	1365-7305		
	Aquaculture International	0967-6120		
	Aquaculture Research	1355-557X	1365-2109	
	Aquatic Biology	1864-7790		
	Aquatic Biology	1864-7782	1864-7790	
	Aquatic Botany	0304-3770		
	Aquatic Conservation-Marine and Freshwater Ecosystems	1052-7613	1099-0755	
	Aquatic Ecology	1386-2588	1573-5125	
	Aquatic Geochemistry	1380-6165	1573-1421	
	Aquatic Invasions	1798-6540		
	Aquatic Living Resources	0990-7440	1765-2952	
	Aquatic Mammals	0167-5427	1996-7292	
	Aquatic Sciences	1015-1621	1420-9055	
	Aquatic Toxicology	0166-445X	1879-1514	
	Arabian Journal of Chemistry	1878-5352		
	Arabica	0570-5398		
	Arcadia	Mar-82	1613-0642	
	Archaea-An International Microbiological Journal	1472-3646	1472-3654	
	Archaeological Prospection	1075-2196		
	Archaeological and Anthropological Sciences	1866-9557		
	Archaeologies- the Journal of the World Archaeological Congress	1555-8622	1935-3987	
	Archaeometry	0003-813X		
	Archiv Der Mathematik	0003-889X		
	Archiv Fur Molluskenkunde	Mar-84		
	Archiv Fur Molluskenkunde	1869-0963		
	Archiv fur Mikrobiologie	0302-8933		
