uri	deptid	direct_costs	cois	end_date	title	sponsor_award_id	invs	sponsorid	award_id	pis	start_date	total_award
http://vivo.ufl.edu/individual/n1735796577	16121100	45477.82		2008-12-31T00:00:00	Joint Research Into Chemical Aspects of Petroleum	620/4510301638		GM01080	00070688	91738740	2008-08-01T00:00:00	55000.00
http://vivo.ufl.edu/individual/n1749421331	16121100	623698.56		2016-12-31T00:00:00	Joint Research Into Chemical Aspects of Petroleum	620/4510364507;620/4510391440;620/4510457661;620/4510371793;620/4510406829;620/4510415679;620/4510351922		GM01080	00077196	91738740	2010-01-01T00:00:00	779623.20
http://vivo.ufl.edu/individual/n1811599466	29040000	247962.91		2018-04-22T00:00:00	Jsf (Ddm) Endowment Fund to Sponsor the Research Efforts of Dr. Donn Dennis.	F005324		GM02544	00069376	46281250	2008-04-23T00:00:00	247962.91
http://vivo.ufl.edu/individual/n1831220441	18060000	144766.00		2010-12-31T00:00:00	Jacksonville Childrens Commission and the New Town Success Zone	PO004000		GM01831	00076425	50383720	2010-01-04T00:00:00	180958.00
http://vivo.ufl.edu/individual/n1980937665	19020000	32180.00		2016-02-26T00:00:00	Joint Mechanics Assistantship Program	01-18-0748.03		GM02759	00083862	38325421	2011-12-01T00:00:00	44000.00
http://vivo.ufl.edu/individual/n2042799904	60072000	20878.00		2015-02-28T00:00:00	Joint Ccafs-Agmip Activities	C-063-14		GM02512	00094550		2014-04-01T00:00:00	25054.00
http://vivo.ufl.edu/individual/n2087647175	55140300	6000.00		2010-05-14T00:00:00	Jacksonville Health Literacy Outreach Project	UNIV OF MARYLAND		GM02441	00076554	11350963	2008-11-01T00:00:00	6000.00
http://vivo.ufl.edu/individual/n2087957822	19059000	221840.00		2011-11-30T00:00:00	Joint Information Theoretic and Differential Geometrical Approach for Robust Automated Targeted Recognition	FA9550-09-1-0132		GM02497	00070201	62151491	2009-03-01T00:00:00	300000.00
http://vivo.ufl.edu/individual/n2103190930	60318000	5455.00		2009-12-31T00:00:00	Journal of Applied Communications	N/A		GM01416	00043507		1997-01-01T00:00:00	6000.00
http://vivo.ufl.edu/individual/n218360740	16060100	7058.00		2013-12-31T00:00:00	Jpl Herschel Sysle Ot1 Project Higal	1438567		GM02416	00082721	43112346	2011-07-26T00:00:00	10340.00
http://vivo.ufl.edu/individual/n276394867	29051700	68036.52		2013-06-30T00:00:00	Jhp Aplisol Clinical Studies Tst Site Training Agreement			GM0005547	00085595	20684540	2012-04-01T00:00:00	78241.99
http://vivo.ufl.edu/individual/n2780405004	16121100	19451.26		2013-07-31T00:00:00	Joint Research Into Chemical Aspects of Petroleum	PO 620 / 4510457661		GM01080	00089761		2013-04-24T00:00:00	24314.07
http://vivo.ufl.edu/individual/n3056085973	30090000	4545.00		2014-06-30T00:00:00	Jaxhats Coalition	6119-1317-00-B		GM03031	00091695		2013-07-01T00:00:00	5000.00
http://vivo.ufl.edu/individual/n3106086868	16660100	91774.61		2015-08-31T00:00:00	Jean Monnet Centre of Excellence At the University of Florida	2012-2876/001-001		GM04199	00087312		2012-09-01T00:00:00	98198.83
http://vivo.ufl.edu/individual/n350972530	29210000			2005-06-30T00:00:00	Joe Frank Smith Lectureship Educational Function			GM0254		85839330	2004-07-01T00:00:00	3000.00
http://vivo.ufl.edu/individual/n356994499	16660100	97008.00		2010-08-31T00:00:00	Jean Monnet Center of Excellence At the University of Florida	20007-1392/001-001		GM04199	00066482	64205260	2007-09-01T00:00:00	103799.00
http://vivo.ufl.edu/individual/n373851510	29091100	367593.11		2017-07-17T00:00:00	J T & W M Hayward Professorship in Genetics Research	U F Foundation/7832		GM01760	00055936	43251110	2001-07-18T00:00:00	367593.11
http://vivo.ufl.edu/individual/n3872991090	16121100	16000.00		2012-12-31T00:00:00	Joint Research Into Chemical Aspects of Petroleum	IL-062512-TBD		GM01080	00087618		2012-01-01T00:00:00	20000.00
http://vivo.ufl.edu/individual/n41946841	16640100	32742.58		2009-06-30T00:00:00	Japan Foundation Staff Expansion	19-K5015		GM03962	00065951	87130820	2007-08-15T00:00:00	32742.58
http://vivo.ufl.edu/individual/n4515785900	16380100	56903.18		2016-08-31T00:00:00	Jean Monnet Chair (Ad Personam)	2013-2867/001-001		GM04068	00091531		2013-09-01T00:00:00	60886.40
http://vivo.ufl.edu/individual/n4809778137	30090000	285714.29		2017-06-30T00:00:00	Jacksonville Health and Transition Services	SOQSX		GM03004	00094240		2014-07-01T00:00:00	300000.00
http://vivo.ufl.edu/individual/n4918672636	31000000	10000.00		2016-07-31T00:00:00	Jonas Scholars Program			GM0005543	00092887		2014-08-01T00:00:00	10000.00
http://vivo.ufl.edu/individual/n4927499762	29080500	45455.00		2013-12-31T00:00:00	Jdrf/Itn Partnership in Immune Tolerance a Consortium Trial for the Reversal of Type 1 Diabetes	FY13703602		GM02339	00089602		2013-01-01T00:00:00	50000.00
http://vivo.ufl.edu/individual/n533506962	19020000	210224.00		2011-03-01T00:00:00	Jtec/R2C2 Concept Validation Support	S-000454.01		GM02496	00075942	35587440	2009-12-01T00:00:00	299955.00
http://vivo.ufl.edu/individual/n538521529	16180100	275628.00		2009-12-31T00:00:00	Juvenile Offenders With Maltreatment Histories: a Rondomized Field Test of Alternative Treatment Approaches	2006-JL-FX-0161		GM02514	00063334		2006-10-01T00:00:00	394720.00
http://vivo.ufl.edu/individual/n5613994484	32020500	19500.00		2015-07-31T00:00:00	Joint Graduate Program	EMBASSY OF ARAB REPU		GM02835	00089815		2013-08-01T00:00:00	19500.00
http://vivo.ufl.edu/individual/n570699379	29170300			2005-06-30T00:00:00	Jbjs Resident Journal Club Grant 2004			GM01697		08444740	2004-09-13T00:00:00	2500.00
http://vivo.ufl.edu/individual/n590992451	29050600	247005.69		2016-06-16T00:00:00	James and Barbara Modello Cancer Center Research Fund	F012156		GM01760	00071254	27975560	2008-10-17T00:00:00	247005.69
http://vivo.ufl.edu/individual/n6277278122	29080500	45455.00		2012-12-31T00:00:00	Jdrf/Itn Partnership in Immune Tolerance	FY12703602		GM01626	00085733		2012-01-01T00:00:00	50000.00
http://vivo.ufl.edu/individual/n641502064	60460002	30557.00		2010-01-31T00:00:00	Japanese Climbing Fern in Southern Forests: Ecological Realities and Management Solutions	07100349		GM02261	00066767	97016120	2007-10-01T00:00:00	30557.00
http://vivo.ufl.edu/individual/n6446601462	24020103	36875.00		2016-09-30T00:00:00	Jessie Ball Dupont Fund Grant to Support An Implementation Evaluation of Pace Center for Girls.	F013635		GM01760	00091223		2013-09-01T00:00:00	36875.00
http://vivo.ufl.edu/individual/n645968939	60471000	5380.90		2010-08-31T00:00:00	Juvenile Great Egret Feather Collections for Total Mercury Analysis	45000042577		GM02668	00076058	88333490	2009-11-03T00:00:00	6726.13
http://vivo.ufl.edu/individual/n693283378	19020000	44398.00		2011-02-27T00:00:00	Joint Mechanics Research Assistantship Program	LFN# 01-18-0748.02		GM02759	00070468	38325421	2009-03-01T00:00:00	56950.00
http://vivo.ufl.edu/individual/n819327801	16121100	132000.00		2009-12-31T00:00:00	Joint Research Into Chemical Aspects of Petroleum	620/4510317966		GM01080	00072717	91738740	2009-01-01T00:00:00	165000.00
http://vivo.ufl.edu/individual/n84813				1994-12-31T00:00:00	Jamaica training grant			http://vivo.ufl.edu/individual/n7023308		79034720	1991-01-01T00:00:00	238000
http://vivo.ufl.edu/individual/n8694224299	29090900	20000.00		2018-11-17T00:00:00	James Benjamin Gussin Fund for Gsd La Research	F018441		GM01760	00091877		2013-11-18T00:00:00	20000.00
http://vivo.ufl.edu/individual/n8893341462	30060000	29164.80		2016-08-26T00:00:00	Jvc Antibody Program in Patients With Relapsing Multiple Sclerosis Receiving or Considering Treatment With Tysabri			GM01351	00092622		2010-08-26T00:00:00	36456.00
http://vivo.ufl.edu/individual/n9244100279	27070504	60847.00		2014-06-30T00:00:00	Jtmf - School Health Initiative - Health Care Innovation (Choices Database)	661632		GM02532	00093572		2013-07-01T00:00:00	76059.00
http://vivo.ufl.edu/individual/n935260231	30090000	285714.29		2014-06-30T00:00:00	Jacksonvill Health and Transition Services	COQSX		GM03004	00083133	50975821	2011-07-01T00:00:00	300000.00
http://vivo.ufl.edu/individual/n944153797	57201000			2007-01-31T00:00:00	John a Knauss Marine Policy Fellowship	NA06OAR4170025		GM02389		45160360	2006-02-01T00:00:00	41500.00
http://vivo.ufl.edu/individual/n949559902	16121100	195171.04		2014-03-31T00:00:00	Joint Research Into Chemical Aspects of Petroleum (Amendment No. 1 to Agreement-57821)	57821;EXXONMOBIL 57821		GM01080	00037001	91738740	2002-01-01T00:00:00	282999.31
http://vivo.ufl.edu/individual/n962751717	16660100	29398.92		2012-08-31T00:00:00	Jean Monnet Module: the History of Turkey and Europe, the Future of Turkey in the Eu W	2009-2870/001-001		GM04068	00072325	64205260	2009-10-13T00:00:00	31456.84
