uri	name	state	lat	long
	Grand Prairie	Texas	32.6842	-97.021
	Newport News	Virginia	37.076	-76.5217
	Brownsville	Texas	26.0183	-97.4538
	Santa Clarita	California	34.4049	-118.5047
	Overland Park	Kansas	38.889	-94.6906
	Providence	Rhode Island	41.8231	-71.4188
	Jackson	Mississippi	32.3158	-90.2128
	Garden Grove	California	33.7788	-117.9605
	Oceanside	California	33.2246	-117.3062
	Chattanooga	Tennessee	35.0665	-85.2471
	Fort Lauderdale	Florida	26.1413	-80.1439
	Rancho Cucamonga	California	34.1233	-117.5642
	Santa Rosa	California	38.4468	-122.7061
	Port St. Lucie	Florida	27.281	-80.3838
	Ontario	California	34.0395	-117.6088
	Tempe	Arizona	33.3884	-111.9318
	Vancouver	Washington	45.6372	-122.5965
	Springfield	Missouri	37.1942	-93.2913
	Cape Coral	Florida	26.6431	-81.9973
	Pembroke Pines	Florida	26.0212	-80.3404
	Sioux Falls	South Dakota	43.5383	-96.732
	Peoria	Arizona	33.7877	-112.3111
	Lancaster	California	34.6936	-118.1753
	Elk Grove	California	38.4144	-121.3849
	Corona	California	33.8624	-117.5639
	Eugene	Oregon	44.0567	-123.1162
	Salem	Oregon	44.9237	-123.0231
	Palmdale	California	34.5913	-118.109
	Salinas	California	36.6902	-121.6337
	Springfield	Massachusetts	42.1155	-72.54
	Pasadena	Texas	29.6583	-95.1505
	Rockford	Illinois	42.2634	-89.0628
	Pomona	California	34.0586	-117.7613
	Hayward	California	37.6281	-122.1063
	Fort Collins	Colorado	40.5482	-105.0648
	Joliet	Illinois	41.5181	-88.1584
	Escondido	California	33.1336	-117.0732
	Kansas City	Kansas	39.1225	-94.7418
	Torrance	California	33.835	-118.3414
	Bridgeport	Connecticut	41.1874	-73.1957
	Alexandria	Virginia	38.8183	-77.082
	Sunnyvale	California	37.3858	-122.0263
	Cary	North Carolina	35.7821	-78.8141
	Lakewood	Colorado	39.6989	-105.1176
	Hollywood	Florida	26.0311	-80.1646
	Paterson	New Jersey	40.9147	-74.1628
	Syracuse	New York	43.041	-76.1436
	Naperville	Illinois	41.7492	-88.162
	McKinney	Texas	33.2012	-96.668
	Mesquite	Texas	32.7639	-96.5924
	Clarksville	Tennessee	36.5664	-87.3452
	Savannah	Georgia	32.0025	-81.1536
	Dayton	Ohio	39.7774	-84.1996
	Orange	California	33.8048	-117.8249
	Fullerton	California	33.8857	-117.928
	Pasadena	California	34.1606	-118.1396
	Hampton	Virginia	37.048	-76.2971
	McAllen	Texas	26.2185	-98.2461
	Killeen	Texas	31.0777	-97.732
	Warren	Michigan	42.4929	-83.025
	West Valley City	Utah	40.6885	-112.0118
	Columbia	South Carolina	34.0298	-80.8966
	New Haven	Connecticut	41.3108	-72.925
	Sterling Heights	Michigan	42.5812	-83.0303
	Olathe	Kansas	38.8843	-94.8188
	Miramar	Florida	25.977	-80.3358
	Thousand Oaks	California	34.1933	-118.8742
	Frisco	Texas	33.151	-96.8193
	Cedar Rapids	Iowa	41.967	-91.6778
	Topeka	Kansas	39.0362	-95.6948
	Visalia	California	36.3272	-119.3234
	Waco	Texas	31.5601	-97.186
	Elizabeth	New Jersey	40.6663	-74.1935
	Bellevue	Washington	47.5978	-122.1565
	Gainesville	Florida	29.6788	-82.3459
	Simi Valley	California	34.2669	-118.7485
	Charleston	South Carolina	32.8179	-79.9589
	Carrollton	Texas	32.9884	-96.8998
	Coral Springs	Florida	26.2708	-80.2593
	Stamford	Connecticut	41.0799	-73.546
	Hartford	Connecticut	41.766	-72.6833
	Concord	California	37.9722	-122.0016
	Roseville	California	38.7657	-121.3032
	Thornton	Colorado	39.918	-104.9454
	Kent	Washington	47.3853	-122.2169
	Lafayette	Louisiana	30.2116	-92.0314
	Surprise	Arizona	33.6706	-112.4527
	Denton	Texas	33.2151	-97.1417
	Victorville	California	34.5277	-117.3536
	Evansville	Indiana	37.9877	-87.5347
	Midland	Texas	32.0299	-102.1097
	Santa Clara	California	37.3646	-121.9679
	Athens	Georgia	33.9496	-83.3701
	Allentown	Pennsylvania	40.594	-75.4782
	Abilene	Texas	32.4545	-99.7381
	Beaumont	Texas	30.0843	-94.1458
	Vallejo	California	38.1079	-122.2639
	Independence	Missouri	39.0853	-94.3513
	Springfield	Illinois	39.7639	-89.6708
	Ann Arbor	Michigan	42.2756	-83.7313
	Provo	Utah	40.2453	-111.6448
	Peoria	Illinois	40.7523	-89.6171
	Norman	Oklahoma	35.2406	-97.3453
	Berkeley	California	37.8667	-122.2991
	El Monte	California	34.0746	-118.0291
	Murfreesboro	Tennessee	35.8522	-86.4161
	Lansing	Michigan	42.7098	-84.5562
	Columbia	Missouri	38.9479	-92.3261
	Downey	California	33.9382	-118.1309
	Costa Mesa	California	33.6659	-117.9123
	Inglewood	California	33.9561	-118.3443
	Miami Gardens	Florida	25.9489	-80.2436
	Manchester	New Hampshire	42.9847	-71.4439
	Elgin	Illinois	42.0396	-88.3217
	Wilmington	North Carolina	34.2092	-77.8858
	Waterbury	Connecticut	41.5585	-73.0367
	Fargo	North Dakota	46.8652	-96.829
	Arvada	Colorado	39.8097	-105.1066
	Carlsbad	California	33.1239	-117.2828
	Westminster	Colorado	39.8822	-105.0644
	Rochester	Minnesota	44.0154	-92.4772
	Gresham	Oregon	45.5023	-122.4416
	Clearwater	Florida	27.9795	-82.7663
	Lowell	Massachusetts	42.6389	-71.3221
	West Jordan	Utah	40.6023	-112.001
	Pueblo	Colorado	38.2731	-104.6124
	San Buenaventura	California	34.2681	-119.255
	Fairfield	California	38.2568	-122.0397
	West Covina	California	34.0559	-117.9099
	Billings	Montana	45.7895	-108.5499
	Murrieta	California	33.5719	-117.1907
	High Point	North Carolina	35.9855	-79.9902
	Round Rock	Texas	30.5237	-97.6674
	Richmond	California	37.953	-122.3594
	Cambridge	Massachusetts	42.376	-71.1183
	Norwalk	California	33.9069	-118.0834
	Odessa	Texas	31.8804	-102.3434
	Antioch	California	37.9775	-121.7976
	Temecula	California	33.5019	-117.1246
	Green Bay	Wisconsin	44.5207	-87.9842
	Everett	Washington	48.0033	-122.1742
	Wichita Falls	Texas	33.9067	-98.5259
	Burbank	California	34.189	-118.3249
	Palm Bay	Florida	27.9856	-80.6626
	Centennial	Colorado	39.5906	-104.8691
	Daly City	California	37.7009	-122.465
	Richardson	Texas	32.9723	-96.7081
	Pompano Beach	Florida	26.2426	-80.129
	Broken Arrow	Oklahoma	36.0365	-95.781
	North Charleston	South Carolina	32.8853	-80.0169
	West Palm Beach	Florida	26.7483	-80.1266
	Boulder	Colorado	40.0175	-105.2797
	Rialto	California	34.1118	-117.3883
	Santa Maria	California	34.9332	-120.4438
	El Cajon	California	32.8017	-116.9605
	Davenport	Iowa	41.5541	-90.604
	Erie	Pennsylvania	42.1166	-80.0735
	Las Cruces	New Mexico	32.3197	-106.7653
	South Bend	Indiana	41.6769	-86.269
	Flint	Michigan	43.0244	-83.692
	Kenosha	Wisconsin	42.5822	-87.8456
