AwardIDType|AwardID|Title|TotalAwarded|DirectCosts|StartDate|EndDate|PI|CoPI|Inv|DeptID|SponsorID|SponsorAwardID|Note
PROJ|00095614|RELOAD: IMPACT OF PRASUGREL RE-LOAD ON PLATELET AGGREGATION IN PATIENTS ON CHRONIC PRASUGREL THERAPY|173675.00|138940.00|04/11/2011|04/11/2017|78883621|||30050000|GM0158|NULL|
PROJ|00096885|EFFICACY AND SAFETY OF LY2495655 VERSUS PLACEBO IN OLDER PATIENTS UNDERGOING ELECTIVE TOTAL HIP ARTHROPLASTY (ETHA)|37115.65|29692.52|07/20/2011|07/11/2014|11129100|||30140000|GM0158|NULL|
PROJ|00108532|TWO TREATMENT APPROACHES FOR HUMAN REGULAR U-500 INSULIN (THRICE-DAILY VERSUS TWICE-DAILY) SUBJECTS WITH TYPE 2......|85962.75|68770.20|01/03/2013|01/02/2016|61881323|||30050000|GM0158|NULL|
PROJ|00115726|MULTI-CENTER, RANDOMIZED, SINGLE MASKED PHASE 2 STUDY OF INTRAVITREAL INJECTIONS OF SIROLIMUS IN THE TREATMENT OF...|9589.00|7671.20|10/01/2013|12/31/2014|59693645|||30150000|GM0161|NULL|
PROJ|00092877|DHEA AGAINST VAGINAL ATROPHY SAFETY STUDY OF 12 MONTHS|17317.22|13853.77|01/26/2011|12/21/2013|02331841|||30070000|GM05213|NULL|
PROJ|00104621|A RANDOMIZED DOUBLE BLINDED PLACEBO CONTROLLED PHASE 3 STUDYTO EVALUATE THE EFFICACY SAFETY AND TOLERABILITY OF.....|7740.37|6192.29|06/14/2012|06/13/2015|91180460|||30050000|GM0006110|NULL|
PROJ|00111352|INTERNATIONAL GUILLIAN-BARRE OUTCOMES STUDY (IGOS)|0.00|0.00|08/01/2013|07/31/2016|13536601|||30180000|GM0005989|NULL|
PROJ|00113447|A PHASE 3, DOUBLE-BLIND, PLACEBO-CONTROLLED, RANDOMIZED, MULTI-CENTER STUDY TO EVALUATE THE SAFETY AND EFFICACY . . .|50398.82|39553.19|12/30/2013|12/29/2016|02331841|||30070000|GM0901|NULL|
PROJ|00094912|...IV OSELTAMIVIR (TAMIFLU) IN THE TREATMENT OF CHILDREN 1- 12 YRS OF AGE WITH INFLUENZA INFECTION (NP25139C)|6430.50|5144.40|01/11/2011|01/11/2014|38103241|||30090000|GM0226|NULL|
PROJ|00103277|...ANTIPLATELET EFFECTS OF TICAGRELOR VERSUS CLOPIDOGREL IN AFRICAN AMERICAN PATIENTS WITH STABLE CORONARY ARTERY DISEAS|73651.25|58921.01|05/29/2012|05/29/2015|78883621|||30050000|GM0741|NULL|
PROJ|00120741|PARTIAL MEAL REPLACEMENTS PROVIDING HIGH-PROTEIN RESTRICTED CARBOHYDRATES IN THE TREATMENT OF ADOLESCENT WITH SEVER OBES|127805.94|99848.38|07/08/2014|07/07/2017|13545421|||30090000|GM0006903|NULL|
PROJ|00083552|EVALUATION OF DOTAREM ENHANCED MRA COMPARED TO TIME-OF- FLIGHT MRA IN THE DIAGNOSIS OF RENAL ARTERIAL DISEASE|12150.00|9720.00|08/31/2009|01/20/2011|64375060|||30130100|GM04783|NULL|
PROJ|00085118|AN OPEN-LABEL, RANDOMIZED STUDY TO EVALUATE THE SAFETY, TOLERABILITY AND EFFICACY OF TOCILIZUMAB (TCZ) . . .|19327.50|15462.00|11/17/2009|10/19/2011|60796361|||30050000|GM0227|NULL|
PROJ|00098697|HEARTWARE-A PROSPECTIVE, RANDOMIZED, CONTROLLED, UN-BLINDED MULTI-CENTER CLINICAL TRIAL TO EVALUATE THE HEARTWARE VENT..|29300.00|23440.00|03/28/2011|04/04/2017|53887080|||29141700|GM04821|NULL|
PROJ|00094793|AN OPEN-LABEL, PROSPECTIVE, PHARMACOKINETIC/PHARMACODYNAMIC AND SAFETY EVALUATION OF INTRAVENOUS OSELTAMIVIR (TAMIFLU)..|6430.50|5144.40|01/11/2011|01/11/2014|38103241|||30090000|GM0227|NULL|
PROJ|00096403|PROTOCOL 4875-I USER PREFERENCES STUDY TO COMPARE A 40CM INTERMITTENT CATHETER TO A 30CM INTERMITTENT CATHETER|12343.75|9875.00|05/02/2011|06/01/2012|93181531|||30140000|GM0005420|NULL|
PROJ|00083929|A MULTICENTER, RANDOMIZED DOUBLE BLIND PLACEBO-CONTROLLED STUDY OF THE EFFECTS OF KW-3902 INJECTABLE EMULSION ON HEART..|1300.00|1040.00|09/16/2009|02/17/2010|37133881|||30050000|GM04499|NULL|
PROJ|00084896|PHASE 3 RANDOMIZED RATER- AND DOSE-BLINDED STUDY COMPARING TWO ANNUAL CYCLES OF IV LOW- AND HI-DOSE ALEMTUZUMAB|50668.25|40534.60|11/03/2009|04/29/2011|62563570,93697848|||30180100|GM0197|NULL|
PROJ|00089362|AN EXTENSION PROTOCOL FOR MULTIPLE SCLEROSIS PATIENTS WHO PARTICIPATED IN GENZYME-SPONSORED STUDIES OF ALEMTUZUMAB|58019.38|46415.50|04/02/2010|04/02/2019|62563570|||30180000|GM0197|NULL|
PROJ|00099947|RANDOMIZED DOUBLE BLIND PLACEBO CONTROLLED TRIAL OF 6 MONTHSVERSUS 12 MONTHS CLOPIDOGREL THERAPY AFTER DRUG ELUTING.....|0.00|0.00|09/27/2011|09/27/2017|78883621|||30050000|GM0005506|NULL|
PROJ|00086336|THE SWIFT STUDY: A PROSPECTIVE, RANDOMIZED OPEN LABEL PHASE IV STUDY TO EVALUATE THE RATIONALE OF SWITCHING FROM........|2500.00|2000.00|02/03/2010|06/22/2010|21128932|||30050000|GM0953|NULL|
PROJ|00091599|A RANDOMIZED, MULTICENTER STUDY OF FIRST LINE AMBRISENTAN AND TADALAFIL COMBINATION THERAPY IN SUBJECTS WITH..........|41732.50|33386.00|10/05/2010|10/05/2016|10961919|||30050000|GM0953|NULL|
PROJ|00093300|ARTEMIS-IPF: A PHASE 3, RDM, D/BD PLACEBO-CONTROLLED, M/C PARALLEL-GROUP, EVENT-DRIVEN STUDY TO EVALUATE THE EFFICACY.|4000.00|3200.00|02/11/2011|04/27/2011|10961919|||30050000|GM0953|NULL|
PROJ|00094297|A DOUBLE-BLIND, RANDOMIZED, PLACEBO-CONTROLLED, MULTIPLE-DOSE RANGING, ADAPTIVE STUDY EVALUATING THE SAFETY, . . .|84771.25|67817.00|04/07/2011|10/08/2011|92991761|||29660000|GM0953|NULL|
PROJ|00096392|A PHASE 3 DOUBLE-BLIND, MULTICENTER, RANDOMIZES, PLACEBO- CONTROLLED TRIAL EVALUATING REPEATED COURSES OF AZTREONAM...|22287.50|17830.00|06/13/2011|06/13/2014|10961919|||30050000|GM0953|NULL|
PROJ|00106849|A PHASE 2/3, OPEN-LABEL STUDY OF THE PHARMACOKINETICS, SAFETY AND ANTIVIRAL ACTIVITY OF THE ELVITEGRAVIR/COBICISTAT|4840.00|3872.00|11/20/2012|11/19/2015|38103241|||30090000|GM0953|NULL|
PROJ|00108104|A PHASE 2, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, MULTI-CENTER STUDY TO ASSESS THE EFFICACY & SAFETY OFGS-6624|82317.20|61500.51|01/30/2013|01/29/2016|10961919|||30050000|GM0953|NULL|
PROJ|00112963|A PHASE 2/3 MULTICENTER, OPEN LABEL, MULTICOHORT, TWO PART STUDY EVALUATING THE PHARMACOKINETICS(PK) SAFETY AND........|3900.00|3120.00|10/14/2013|10/13/2016|38103241|||30090000|GM0953|NULL|
PROJ|00120787|IMPACT OF RANOLAZINE ON INFLAMMATORY, THROMBOGENIC, LIPOGENIC, BIOMARKERS IN WOMEN WITH ANGINA AND METABOLIC . .|0.00|0.00|04/25/2014|04/24/2017|59190998|||30050000|GM0953|NULL|
PROJ|00084740|A DOUBLE-BLIND, RANDOMIZED, PLACEBO-CONTROLLED PHASE III TO ASSESS THE EFFICACY OF RECMAGE-A3 + AS15 ANTIGEN-SPECIFIC|25094.00|20075.20|10/26/2009|08/05/2016|14333530|||30050100|GM01053|NULL|
PROJ|00087298|ENABLE 2...ELTROMBOPAG IN THROMBOCYTOPENIC SUBJECTS WITH HEPATITIS C VIRUS (HCV) INFECTION...|2000.00|1600.00|03/17/2010|06/24/2010|06996989|||30050000|GM01053|NULL|
PROJ|00094421|A RANDOMISED, SINGLE-BLIND, PLACEBO-CONTROLLED, STUDY TO EVALUATE THE SAFETY, TOLERABILITY, PHARMACODYNAMICS IN . . .|30176.09|24140.88|04/14/2011|10/08/2011|92991761|||29660000|GM01053|NULL|
PROJ|00096961|A RANDOMIZED D/B P/C STUDY TO INVESTIGATE THE EFFICACY & SAFETY OF GSK1605786A IN THE TREATMENT OF SUBJECTS WITH .......|6078.00|4862.40|07/07/2011|03/01/2012|40808041|||30050000|GM01053|NULL|
PROJ|00098378|LRS114689 A STUDY TO ASSESS THE SAFETU, TOLERABILITY AND PRELIMINARY EFFICACY OF GSK2251052|2500.00|2000.00|03/10/2011|06/21/2012|39414481|||30140000|GM01053|NULL|
PROJ|00106540|A CLINICAL OUTCOMES STUDY TO COMPARE THE EFFECT FLUTICASONE FUROATE/VILANTEROL INHALATION POWDER 100/25MCG WITH PLACEBO|65927.50|52742.00|01/07/2013|01/07/2019|78581600|||30050000|GM01053|NULL|
PROJ|00108604|A PROOF OF CONCEPT FOR GSK249320 VERSES PLACEBO IN STROKE PATIENTS|18186.90|14549.52|04/26/2013|01/12/2015|10043561|||30180000|GM01053|NULL|
PROJ|00110864|OPEN PHASE III..STUDY..OF GSK BIOLOGICALS..DIPTHERIA-TETANUSTOXOIDS AND ACELLULAR PERTUSSIS VACCINE..|4358.75|3487.00|08/02/2005|06/30/2016|38103241|||30090000|GM01053|NULL|
PROJ|00119655|A PHASE IIIB, RANDOMIZED, OPEN LABEL STUDY OF THE SAFETY, EFFICACY AND TOLERABILITY OF SWITCHING TO A FIXED DOSE......|6265.60|4895.00|07/21/2014|07/20/2017|78199040|||30050000|GM01053|NULL|
PROJ|00122865|A CLINICAL OUTCOMES STUDY TO COMPARE THE INCIDENCE OF MAJOR ADVERSE CARDIOVASCULAR EVENTS IN SUBJECTS PRESENTING WITH ..|12627.70|9865.40|10/22/2014|10/21/2017|10212750|||30050000|GM01053|NULL|
PROJ|00092882|DHEA AGAINST VAGINAL ATROPHY (PLACEBO CONTROLLED DOUBLE BLIND AND RANDOMIZED PHASE III STUDY OF 3 MONTH INTRAVAGINAL|12755.31|10204.25|12/21/2010|12/21/2013|02331841|||30070000|GM05213|NULL|
PROJ|00096889|DHEA AGAINST VAGINAL DRYNESS(PLACEBO-CONTROLLED, D/B & RAND PHASE III STUDY OF 3-MONTH INTRAVAGINAL DHEA)|7322.47|5857.97|05/17/2011|05/17/2014|02331841|||30070100|GM05213|NULL|
PROJ|00097277|PHARMACODYNAMIC EFFECTS OF THE THROMBOXANE RECEPTOR INHIBITOR EV-077; AN IN VITRO DOSE-ESCALATION STUDY . .|38200.00|30560.00|06/23/2011|05/26/2012|78883621|||30050000|GM0005399|NULL|
PROJ|00097557|(EVOLVA) PHARMACODYNAMIC EFFECTS OF THE THROMBOXANE RECEPTORINHIBITOR EV--077........|39000.00|31200.00|06/23/2011|06/23/2014|78883621|||30050000|GM0005399|NULL|
PROJ|00089139|A MULTICENTER, RANDOMIZED, MASKED, PLACEBO-CONTROLLED TRIAL TO ASSESS THE SAFETY AND EFFICACY OF LUCINACTANT IN ACUTE HY|5555.00|4444.00|06/17/2010|03/22/2011|58266398|||30090100|GM01267|NULL|
PROJ|00099976|THE COLLECTION OF MATERNAL BLOOD SAMPLES FOR THE DEVELOPMENTAND CLINICAL APPLICATION OF A NOVEL, NON-INVASIVE PRENATAL .|4843.75|3875.00|09/22/2011|09/21/2016|03337741||96447460|30070000|GM0005504|NULL|
PROJ|00100051|THE COLLECTION OF BLOOD SAMPLES FOR THE DEVELOPMENT AND CLINICAL APPLICATION OF A NOVEL, SEROLOGICAL ASSAY FOR THE DETEC|31750.60|25400.48|12/01/2011|12/01/2014|40230121|||30070000|GM0005504|NULL|
PROJ|00103210|THE COLLECTION OF WHOLE BLOOD SPECIMENS FROM PATIENTS PRESENTING WITH CLINICAL SIGNS AND SYMPTOMS SUGGESTIVE OF VIRAL...|29216.75|23373.40|05/02/2012|05/02/2015|06996989|||30050000|GM0005504|NULL|
PROJ|00107373|DLS LONGITUDINAL HCV 2013: THE QUANTITATION OF HCV RNA IN SERUM AND/OR PLASMA SAMPLS OBTAINED FROM INDIVIDUAL SUBJECTS..|0.00|0.00|12/17/2012|12/16/2015|06996989|||30050000|GM0005504|NULL|
PROJ|00107500|THE DETECTION OF HBV DNA AND HCV RNA AND DETERMINATION OF GENOTYPES IN WHOLE BLOOD OBTAINED FROM SUBJECTS WITH......|2890.00|2312.00|01/11/2013|01/10/2016|06996989|||30050000|GM0005504|NULL|
PROJ|00117511|COLLLECTION OF BIO-FLUID SAMPLES FROM PREGNANT WOMEN FOR THEEVALUATION OF BIOMARKERS FOR PRE-ECLAMPSIA|27677.28|21622.89|05/29/2014|05/28/2017|36111222|||30070000|GM0005504|NULL|
PROJ|00120506|A PLACEBO-CONTROLLED RANDOMIZED WITHDRAWAL EVALUATION OF THEEFFICACY AND SAFETY OF BACLOFEN ER CAPSULES (GRS) . . .|0.00|0.00|09/12/2014|09/11/2017|31594155|||30180000|GM0006892|NULL|
PROJ|00122265|A PLACEBO CONTROLLED RANDOMIZED WITHDRAWAL EVALUATION OF THEEFFICACY AND SAFETY OF BACLOFEN ER CAPSULES (GRS) IN SUBJECT|10298.40|8045.62|09/12/2014|09/11/2017|31594155|||30180000|GM0006892|NULL|
PROJ|00122051|A PHASE 2B MULTI-CENTER RANDOMIZED PLACEBO-CONTROLLED DOSE- RANGING STAUDY TO INVESTIGATE THE SAFETY & TOLERABILITY...|0.00|0.00|12/17/2014|12/16/2017|78883621|||30050000|GM03064|NULL|
PROJ|00087180|A RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED STUDY TO EVALUATE THE SAFETY OF 12-WEEKS OF DOSING WITH . . .|16250.00|13000.00|03/11/2010|04/26/2011|10212750|||30050000|GM03066|NULL|
PROJ|00084446|MLTI-CTR RNDMZD 2BLND PARALLEL GRP STDY TO EVAL THE EFF/SAF OF 2 DOSES OF DR-3001 VS PLCBO IN WOMEN W OVERACTIVE BLADDER|10213.35|8170.68|10/08/2009|11/01/2010|48829201|||30070000|GM03539|NULL|
PROJ|00119059|A RANDOMIZED DBL-BLIND PLACEBO-CONTROLLED PARALLEL-GROUP STUDY TO EVALUATE THE EFFECT OF LONG TERM TREATMENT WITH....|61571.74|48102.93|06/03/2014|06/02/2017|78883621|||30050000|GM0005360|NULL|
PROJ|00122619|A PHASE 3 RANDOMIZED DOUBLE BLIND PLACEBO CONTROLLED STUDY INVESTIGATING THE EFFICACY AND SAFETY OF CVT-301 ...........|8250.00|6445.31|01/14/2015|01/13/2018|61729101|||30180000|GM0005360|NULL|
PROJ|00084800|AN OPEN-LABEL EXTENSION STUDY OF RUFINAMIDE GIVEN AS ADJUNCTIVE THERAPY IN PATIENTS WITH REFACTORY PARTIAL SEIZUR|4957.20|3965.76|10/28/2009|04/08/2011|36789200|||30180100|GM03447|NULL|
PROJ|00084808|A DOUBLE-BLD, PLACEBO-CONTROLLED, DOSE ESCALATION, PARELLEL-GROUP STUDY TO EVALUATE THE EFFICACY AND SAFETY OF E2007....|152912.53|122330.02|10/28/2009|06/26/2011|73364341|||30180100|GM03447|NULL|
PROJ|00085901|...EFFICACY AND SAFETY OF E2007 (PERAMPANEL) GIVEN AS ADJUNCTIVE THERAPY IN SUBJECTS WITH REFRACTORY PARTIAL SEIZURES|226472.25|181227.80|11/05/2008|11/05/2014|73364341|||30180100|GM03447|NULL|
PROJ|00110251|AN EXTENDED ACCESS PROGRAM FOR PERAMPANEL|0.00|0.00|07/20/2013|07/19/2016|73364341|||30180000|GM03447|NULL|
PROJ|00089826|THE IMPACT OF LY2189265 VERSUS INSULIN GLARGINE BOTH IN COMBINATION WITH INSULIN LISPRO FOR THE TREATMENT OF TARGET|73749.77|58999.82|06/02/2010|06/02/2016|47698165|||30050000|GM0158|NULL|
PROJ|00090232|A COMPARISON OF PLATELET INHIBITION FOLLOWING A PRASUGREL 60MG OR PRASUGREL 30 MG LOADING DOSE WITH OR WITHOUT PRETREATM|109766.00|87812.80|08/23/2010|07/30/2012|78883621|||30050000|GM0158|NULL|
PROJ|00090705|A PHARMACOKINETIC AND PHARMACODYNAMIC COMPARISON OF PRASUGREL AND CLOPIDOGREL IN VERY ELDERLY VERSUS NON-ELDERLY|186719.75|149375.80|09/15/2010|04/27/2013|78883621|||30050000|GM0158|NULL|
PROJ|00091928|A PHARMACOKINETIC AND PHARMACODYNAMIC COMPARISON OF PRASUGREPRASUGREI IN LOW BODY WEIGHT VS HIGHER BODY WEIGHT.....|29382.00|23505.60|11/19/2010|10/19/2012|78883621|||30050000|GM0158|NULL|
PROJ|00091956|TWO APPROACHES TO ESCALATE LISPO THERAPY IN PATIENTS WITH TYPE 2 DIABETES MELLITUS NOT ACHIEVING ADEQUATE GLYCEMIC....|108565.90|86852.72|09/02/2010|09/02/2016|61881323|||30050000|GM0158|NULL|
PROJ|00094405|INVESTIGATIONAL PLAN FOR THE CRUX BIOMEDICAL EVALUATION OF THE CRUX INFERIOR VENA CAVA FILTER SYSTEM 2 (RETRIEVE 2)|7104.30|5683.44|08/11/2010|10/06/2013|52086510|||29141900|GM05072|NULL|
PROJ|00101012|CRYOVALVE SG AORTIC HUMAN HEART VALVE COMBINATION RETROSPECTE/PROSPECTIVE, MULTI-CENTER, COHORT STUDY|6500.00|5200.00|08/31/2011|08/31/2017|80543830|||29141700|GM0005359|NULL|
PROJ|00107401|CIDP - THE PATH STUDY: ...IGPRO20...FOR THE TREATMENT OF CHRONIC INFLAMMATORY DEMYLINATING POLYNEUROPATHY|0.00|0.00|08/23/2012|08/22/2015|13536601|||30180000|GM0005814|NULL|
PROJ|00094718|A STUDY OF LY900010 (LY2452473 + TADALAFIL) IN THE TREATMENT OF MEND WITH ERECTILE DYSFUNCTION|18448.75|14759.00|12/14/2010|12/02/2013|93181531|||30140000|GM0159|NULL|
PROJ|00084255|A RANDOMISED, DOUBLE=BLIND, PLACEBO-CONTROLLED, PROPECTIVE DOSE-FINDING PHASE II/III STUDY WITH ATACICEPT........|14853.13|11882.50|10/01/2009|09/03/2015|60796361|||30050000|GM04483|NULL|
PROJ|00086625|SAFETY AND EFFICACY OF NEUROFLO TECHNOLOGY IN ISCHEMIC STROKE|2100.00|1680.00|02/12/2010|04/08/2011|62563570|||30180100|GM04066|NULL|
PROJ|00085131|TX2 TAA ENDOVASCULAR GRAFT POST APPROVAL STUDY|81812.00|65449.60|08/24/2009|08/24/2018|01519875|||29141900|GM03522|NULL|
PROJ|00104554|PRESERVE-ZENITH ILIAC BRANCH SYSTEM CLINICAL STUDY TO EVALUATE THE SAFETY AND EFFECTIVENESS OF THE ZENITH BRANCH|15097.00|12077.60|05/06/2011|05/05/2017|01519875|||29141900|GM03522|NULL|
PROJ|00084782|SAPPHIRE WW STENTING AND ANGLOPLASTY WITH PROTECTION IN PATIENTS AT HIGH RISK FOR ENDARTERECTOMY|75920.00|60736.00|10/28/2009|12/31/2017|46132161|||30050000|GM0132|NULL|
PROJ|00082665|PLATELET ACTIVATION AND PACEMAKER/ICD HEMATOMA SIZE|38000.00|30400.00|07/14/2009|08/13/2010|23999642|||30050000|GM092|NULL|
PROJ|00085119|EFFECTS OF OMEPRAZOLE THERAPY ON CLOPIDOGREL-INDUCED ANTIPLATELET EFFECTS: A RANDOMIZED STUDY|125000.00|100000.00|11/17/2009|03/23/2011|78883621|||30050000|GM097|NULL|
PROJ|00090049|A RANDOMIZED, HEAD-TO-HEAD, SINGLE-BLIND STUDY TO COMPARE THE EFFICACY AND SAFETY OF SUBCUTANEOUS ABATACEPT...........|26118.00|20894.40|08/11/2010|06/21/2013|60796361|||30050000|GM097|NULL|
