Sponsor_ID|SponsorName
GM01272|CANCERVAX
GM01342|CHERRY LAKE TREE FARM
GM01343|C02 TECHNOLOGIES
GM01344|HYPNION
GM01345|ASSOCIATED GEN CONT OF AMER
GM01346|MEDIVANCE
GM01347|SALUS PHARMA
GM01348|CC TECHNOLOGIES
GM01349|CARDIOQUEST
GM0135|COTTON INCORPORATED
GM01371|UNITED THERAPEUTICS CORP
GM01372|EPI-Q
GM01373|ENCORE MEDICAL CORP
GM01374|FARM SYSTEMS RESEARCH
GM01335|NINESIGMA
GM01336|E-SPECTRUM TECHNOLOGIES
GM01337|SERIM RES CORP
GM01338|DISK DYNAMICS INC
GM01339|BOSTON SCIENTIFIC SANTA ROSA CORP
GM0134|CORRECTIONS CORP OF AMERICA
GM01130|SUNPURE
GM01131|SLOAN TRENDS AND SOLUTIONS INC
GM01132|CHUGAI BIOPHARMACEUTICALS INC
GM01133|MEDNOVA (USA) INC
GM01134|PICKETT AND ASSOCIATES INC
GM01135|I-FLOW CORPORATION
GM01404|ACUMED
GM01405|PROTEIN DESIGN LABS (PDL)
GM01406|CONEXANT SYSTEMS
GM01407|VISION
GM01408|NATL SAFETY ASSOCIATES
GM01409|ROBERT BOSCH TOOL CORPORATION
GM0141|DEVICES FOR VASCULAR INTERVENT
GM01410|CARDIOVASCULAR CLIN STUDIES
GM01411|UTEK CORPORATION
GM01350|VIDA BEVERAGES
GM01351|BIOGEN IDEC
GM01352|ANGIOGENEX
GM01353|ADV SCIENCE AND NOVEL TECH
GM01354|ACCESS MEDICAL GROUP
GM01355|INTERMATIC
GM01356|HENRY ENGINE
GM01357|INDEPENDENCE TECHNOLOGY
GM01358|TOYOTA MOTOR SALES USA
GM01359|FRELILICH LEITNER AND CARLISLE
GM0136|CTD INC
GM01383|DAIICHI PHARMA HOLDINGS MEDICAL RES
GM01384|MED-EL CORPORATION
GM01385|ADVANCED TARGETING SYSTEMS
GM01386|THE MEDICINES COMPANY
GM01387|TELIK
GM01388|SECURBORATION
GM01389|AMER CRYSTAL SUGAR
GM0139|DATASCOPE CORP
GM01390|MEADWESTVACO
GM01391|SOLUTIONS INDUSTRIAL & ENV SER
GM01392|ZEL TECHNOLOGIES
GM01393|VIRTUAL BRANDS
GM01394|COOK BIOTECH
GM01395|VARIAN MEDICAL SYSTEMS
GM01396|OCTEL CORPORATION
GM01397|EXAGEN DIAGNOSTICS
GM01398|SURFACE CHEMISTS OF FLORIDA
GM01399|TECHNICAL & DEVICES INTL (TDI)
GM014|AIR VENT
GM0140|DEGUSSA CORP
GM01223|O'BRIEN AND GERE ENGINEERS
GM01155|CHELADERM INC
GM01375|BIOROBOTS
GM01376|IRVINE BIOMEDICAL
GM01377|THE JEROME GROUP
GM01378|XCEL ENERGY
GM01379|INNOVATEK INC
GM0138|DAMES & MOORE
GM01380|STRYKER INSTRUMENTS
GM01381|STRYKER CORPORATION
GM01382|TRANSNEURONIX
GM0131|COOLUX
GM01310|PLANNING SYSTEMS INC
GM01311|WEST PHARMACEUTICAL SERVICES
GM01312|INTEGRIUM
GM01313|CHIP SUPPLY
GM01314|CONTROL DELIVERY SYSTEMS
GM01315|FL N-VIRO
GM01316|SORBENT TECHNOLOGIES
GM01317|NMT MEDICAL INC
GM01318|INHIBITEX
GM01319|BIOSITE INC
GM0132|CORDIS CORP
GM01320|BIOCATALYTICS INC
GM01321|CHANDRA XRAY CTR
GM01322|TCS RESEARCH AND DESIGN
GM01323|GLOBESPAN VIRATA
GM01324|INTERVENTIONAL THERAPIES
GM01325|CONROD ASSO COMMUNICATIONS
GM01326|MICROMED TECHNOLOGY
GM01327|AMERSHAM HLTH
GM01248|SGT INCORPORATED
GM01329|FIREHOUSE RESTAURANT
GM0133|CORNING INC
GM01330|FULCRUM PHARMA DEVELOPMENTS
GM01331|DIVERGENCE INC
GM01332|AMPHASTAR PHARMACEUTICALS
GM01333|DAY CRUISE ASSO
GM01334|FERTEN
GM01559|FL EDUCATION RESEARCH CNCL
GM0156|ELAN PHARMACEUTICAL RES CORP
GM01301|AETERNA LABORATORIES
GM01302|NATL FOOTBALL LEAGUE
GM01303|GROUP 5 AND ASSOCIATES
GM01304|LESCO
GM01305|WASHINGTON SUB SANITARY COMMISSION
GM01306|IMMUSOL INC
GM01566|FL GOLF COURSE SUPT ASSO
GM01567|FL HUMANITIES CNCL
GM01568|FL LIME AND AVOCADO ADMN COM
GM01569|FL MOSQUITO CONTROL ASSO
GM01412|BOSTON LIFE SCIENCES
GM01413|BENEMANN ASSOCIATES
GM01414|ORACLE GIVING
GM01415|PENINSULA PHARMACEUTICALS
GM01416|AG COMMUNICATORS IN EDU
GM01417|ALCOHOLIC BEVERAGE MED RES FOU
GM01418|ALZHEIMERS ASSO
GM01419|AMER ACAD OF PEDIATRICS
GM0142|DISCO ALUMINUM PRODUCTS
GM01420|AMER ACAD OF VET DERMATOLOGY
GM01421|AMER ANIMAL HOSPITAL ASSOCIATION
GM01422|AMER ASSO FOR ADV OF SCIENCE
GM01423|AMER ASSO FOR DENTAL RES
GM01424|AMER ASSO OF COL OF PHARMACY
GM01425|AMER ASSO OF DIABETES EDU
GM01426|AMER ASSO OF ENDODONTISTS
GM01427|AMER ASSO OF EQUINE PRAC
GM01428|AMER ASSO OF FELINE PRAC
GM01447|AMER DIETETIC ASSOCIATION
GM01448|AMER FARM BUREAU
GM01449|AMER FOU FOR AIDS RESEARCH
GM0145|DOW CHEMICAL COM DOW AGROSCIENCES INC
GM01450|AMER FOU FOR PHARM EDU
GM01451|AMER FEDN FOR AGING RES
GM01156|TARGACEPT INC
GM01157|EVANS-HAMILTON INC
GM01158|BAE SYSTEMS
GM01159|CAE USA INC
GM0116|CHURCH & DWIGHT COMPANY
GM01160|GENOME THERAPEUTICS CORP
GM01161|DELL COMPUTER CORP
GM01162|BALTIMORE THERAPEUTIC EQUIP CO
GM01163|MEMORY PHARMACEUTICALS CORP
GM01164|KAHN GROVE SERVICE CO
GM01165|WASHINGTON INFRASTRUCTURE SVC
GM01166|ASSOCIATES OF CAPE COD INC
GM01242|VETERINARY MEDICAL SOLUTIONS
GM01243|CLAY PARK LABS
GM01244|INTRALUMINAL THERAPEUTICS
GM01245|TECHSOLVE
GM01246|SUPERPOWER
GM01309|DELTEC CORPORATION
GM01360|S3 INC
GM01361|SARASOTA ARCHITECTURAL SALVAGE
GM01362|CANGENE CORPORATION
GM01363|B BRAUN MEDICAL
GM01364|ARROW INTERNATIONAL
GM01365|WARREN BECK CONSULTING
GM01366|BEM SYSTEMS
GM01367|BOUNTIFUL APPLIED RES CORP
GM01368|DIAMONION DIAGNOSTICS
GM01369|ZYMOGENETICS
GM0137|CUMBERLAND ANIMAL CLINIC
GM01370|LENNOX INDUSTRIES
GM01268|FLOW INCORPORATED
GM01269|EXPRESSION DIAGNOSTICS (XDX)
GM01340|ORTHOFIX INC
GM01341|EDWARDS LIFESCIENCES
GM01400|ASR SYSTEMS
GM01401|CORE INTERNATIONAL
GM01402|SURFACES RESEARCH
GM01403|RENOVIS
GM015|ALABAMA POWER COMPANY
GM0150|DUPONT MERCK PHARMACEUTICAL CO
GM01273|CHEMICAL LIME
GM01274|SOCIAL AND SCIENTIFIC SYSTEMS
GM01275|CUSTOM MANUFACTURING & ENG
GM01276|WAVEBAND CORPORATION
GM01277|FL PRODUCTION ENGINEERING
GM01278|RACING MED AND TESTING CONSORT
GM01279|INVITROGEN CORP
GM0128|CONSOLIDATED-TOMOKA LAND CO
GM01280|NUTRA-PARK
GM01281|FLORALIFE
GM01282|BIOMARIN PHARMACEUTICAL
GM01283|ASRC AEROSPACE CORP
GM01284|SYNGENTA
GM01285|MACTECH ENGINEERING
GM01286|DISCOVERY COMMUNICATIONS
GM01287|PANAMERICAN CONSULTANTS
GM01288|AMER HOFMANN CORP
GM01289|THEROX
GM0129|CONSUMER VALUE STORES INC
GM01290|ENDO PHARMACEUTICALS
GM01291|BML PHARMACEUTICALS
GM01292|MPI SOFTWARE TECHNOLOGY
GM01293|CEPHALON INC
GM01294|C F WAN INC
GM01295|PEL TECHNOLOGIES
GM01296|CUSTOM PAK
GM01297|BETA BIOMED SERVICES INC
GM01298|DEERE AND COMPANY
GM01299|KYOWA PHARMACEUTICALS
GM013|AIR PRODUCTS & CHEMICALS
GM0130|COOK CRITICAL CARE
GM01300|BWX TECHNOLOGIES
GM01494|ATTENDING STAFF FOU
GM01495|AUDUBON INST
GM01496|AWWA RES FOU
GM01497|BECKMAN FOU A & M
GM01498|BEDDING PLANTS FOU
GM01499|BRIGHAM AND WOMEN'S HOSPITAL
GM01461|AMER IRON AND STEEL INST
GM01462|AMER KENNEL CLUB
GM01463|AMER KENNEL CLUB CANINE HLTH FOU
GM01464|AMER LIVER FOU
GM01465|AMER LUNG ASSO
GM01466|AMER LUNG ASSO - FL
GM01467|AMER LUPUS SOCIETY
GM01468|AMER MEDICAL ASSO
GM01469|AMER MUSEUM OF NATURAL HISTORY
GM0147|DUKE POWER COMPANY
GM01470|AMER NURSES FOU
GM01471|AMER OCCUPATIONAL THERAPY ASSO FOU
GM01472|AMER ORCHID SOC FUND
GM01473|AMER PARALYSIS ASSOCIATION
GM01474|AMER PARKINSON DISEASE ASSO
GM01475|AMER PHARMACEUTICAL ASSO
GM01476|AMER PHILOSOPHICAL SOCIETY
GM01477|AMER PHYSIOLOGICAL SOC
GM01478|AMER PSYCHOLOGICAL ASSO
GM01307|DEL MONTE FRESH PRODUCE
GM01308|AVIGENICS INC
GM01550|FOU FOR HUMAN SERVICE STUDIES
GM01551|FOU FOR PHYSICAL THERAPY RES
GM01552|FIGHT FOR SIGHT
GM01553|FL 4-H FOU
GM01554|FL ASSO HOUS AND REDEV OFFICIALS
GM01555|FL BEEF CNCL
GM01556|FL CONCRETE AND PRODUCTS ASSO
GM01557|FL CNCL ON ECONOMIC EDU
GM01558|FL DAIRY FARMERS ASSOCIATION
GM01452|AMER FLORAL ENDOW
GM01453|AMER GAS ASSOCIATION
GM01454|AMER GASTROENTEROLOGICAL ASSO
GM01455|BRIGHTFOCUS FOU
GM01456|AMER HEART ASSOCIATION
GM01457|AMER HEART ASSO FL
GM01458|AMER HEART ASSO FL AFFILIATE
GM01459|AMER INST FOR CANCER RES
GM0146|DRESSER INDUSTRIES INC
GM01460|AMER INST OF STEEL CON
GM01328|INTL SEVERITY INFO SYSTEMS
GM01224|NU-GRO TECHNOLOGIES
GM01225|MICRO THERAPEUTICS
GM01226|NATURIZE BIOSCIENCES
GM01227|CHECKERS DRIVE IN RESTAURANTS
GM01228|COCHLEAR AMERICAS
GM01229|CIVATEC MEDICAL SYSTEMS
GM0123|COCA COLA COMPANY NORTH AMERICA
GM01230|BAKELITE
GM01231|POWER PLANT
GM01232|CROSSLINK POLYMER RES
GM01233|TENSYS MEDICAL
GM01234|NANOTHERAPEUTICS
GM01235|HUNTLEIGH HEALTHCARE
GM01236|ONY
GM01237|ATTORNEYS TITLE INSURANCE FOU
GM01238|ATOFINA CHEMICALS
GM01239|AVALON MEDICAL CORP
GM0124|COCHLEAR CORP
GM01240|GENVEC
GM01241|BIOSTRATUM
GM01483|AMER SOC FOR ENG EDU JOURNAL CHEM ENG ED
GM01484|AMER SOC FOR QUALITY CONTROL
GM01485|AMER SOC HEAT REFRIG AIR CON
GM01486|AMER SOC OF HEMATOLOGY
GM01487|AMER SOC OF TRANSPLANT PHYS
GM01548|FATS AND PROTEINS RES FOU
GM01549|FOU FOR ANESTHESIA EDU AND RES
GM0155|ECKERD CORP FOU JACK
GM01609|HUGHES MEDICAL INST HOWARD
GM0161|EMMES CORP
GM01610|INST ELECTRIC & ELECTRONIC ENG
GM01611|INST FOR BIOLOGICAL RES & DEV
GM01612|INST OF CHARTERED FIN ANALYSISTS
GM0167|EXACTECH INC
GM01670|NATL FUND FOR MEDICAL EDU
GM01671|NATL GEOGRAPHIC SOCIETY
GM01672|NATL INST FOR FAMILY PLANNING
GM01673|NATL INST GLOBAL ENV CHANGE
GM01674|NATL KIDNEY FOU
GM01675|NATL ORG FOR HEARING RESEARCH
GM01676|NATL OSTEOPOROSIS FOU
GM01677|NATL PAPER IND AIR & STREAM
GM01678|NATL PARKINSON FOU
GM01488|AMER SPEECH LANGUAGE HEAR ASSO
GM01489|AMER VET MEDICINE ASSO FOU
GM0149|DUPONT CO PHARMACEUTICALS
GM01490|ANESTHESIA PATIENT SAFETY FOU
GM01491|ARTHRITIS FOU
GM01492|ARTHRITIS FOU FL
GM01493|ASSO OF AVIAN VETERINARIANS
GM01690|NOER RESEARCH FOU
GM01691|NA STRAWBERRY GROWERS ASSO
GM01692|OAK RIDGE ASSO UNIVERSITIES
GM01693|OAK RIDGE ASSO UNIV INST FOR SCI AND EDU
GM01694|ASSO FOR ACADEMIC SURGERY
GM01695|OHIO FLORICULTURE FOU
GM01696|OHIO STATE UNIV RESEARCH FOU
GM01697|ORTHOPAEDIC RES AND EDU FOU
GM01698|OUNCE OF PREVENTION FUND OF FL
GM01699|PACKARD FOU
GM017|ALCOA TECHNICAL CTR
GM0170|FERMILAB
GM01700|PADI FOU
GM01701|PARALYZED VETERANS OF AMERICA
GM01702|PARALYZED VETS OF AMER SPINAL CORD FOU
GM01703|PARDEE FOU ELSA U
GM01704|PDA FOU FOR PHARM SCIENCES
GM01613|INST OF INTL EDU
GM01614|INST OF INTL EDU FULBRIGHT PRO
GM01615|INTL ANESTHESIA RES SOCIETY
GM01616|INTL ASSO OF FIRE FIGHTERS
GM01617|INTL LIFE SCIENCES INST
GM01618|INTL RES AND EXCHANGES BOARD
GM01619|IRVINGTON INST FOR MEDICAL RES
GM0162|ENGELHARD CORP
GM01437|AMER COL OF CLINICAL PHAR
GM01438|AMER COL OF OBSTETRIC & GYNECOL
GM01439|AMER COL OF RADIOLOGY
GM0144|DOW CHEMICAL COMPANY
GM01440|AMER COL OF RHEUMATOLOGY
GM01441|AMER COL OF SPORTS MEDICINE
GM01442|AMER COL OF VET DERMATOLOGY
GM01443|AMER COL OF VET OPHTHALMOLOGIST
GM01444|AMER COL OF VET SURGEONS
GM01445|AMER CNCL OF LEARNED SOCIETIES
GM04335|TOWN & COUNTRY INDUSTRIES
GM01446|AMER DIABETES ASSOCIATION
GM01519|AMER SOC OF PARENTERAL & ENT NUT
GM0152|E-Z-EM INC ANGIODYNAMICS
GM01520|AMER SOCIOLOGICAL ASSOCIATION
GM01521|RUBIN FOU SHELLEY AND DONALD
GM01522|ASSO OF TEACHERS OF PREV MED
GM01523|CTR TO PROTECT WORKERS RIGHTS
GM01524|FOU FOR ADV MESOAMERICAN STUDIES
GM01479|AMER QUARTER HORSE ASSO
GM0148|DUPONT CO
GM01480|AMER SEED RESEARCH FOU
GM01481|AMER SOC CONSULTANT PHARMACISTS
GM01482|AMER SOC FOR CLINICAL ONCOLOGY
GM01534|DEAFNESS RESEARCH FOU
GM01535|DEVELOPMENT ALTERNATIVES INC
GM01536|DIABETES ACTION RESEARCH AND EDU FOU
GM01537|DIABETES RESEARCH & EDU FOU
GM01538|DREYFUS FOU CAMILLE & HENRY
GM01539|DUKE CHARITABLE FOU DORIS
GM0154|EASTMAN KODAK COMPANY
GM01560|FL FARM BUREAU FEDERATION
GM01561|FL FOU RESEARCH IN SPINAL DISORDER
GM01562|FL FORESTRY ASSOCIATION
GM01563|FL FORESTRY FOU
GM01564|FL FOU SEED PRODUCERS
GM01565|FL FRUIT AND VEGETABLE ASSO
GM01547|FANNIE MAE FOU
GM01743|STANLEY FOU THEODORE & VADA
GM01744|STATE LEGISLATIVE LEADERS FND
GM01745|STATE UNIV OF NEW YORK RES FOU
GM01746|STEINBACH FOU
GM01747|STOP! CHILDRENS CANCER INC
GM01748|SUGAR CANE GROWERS COOP OF FL
GM01749|SUWANNEE RIVER AREA HLTH EDU CTR
GM0175|FL SOLAR ENERGY CTR
GM01750|SUWANNEE RVR ECONOMIC CNCL
GM01666|NATL FOU FOR IMPROVE OF EDU
GM01667|NATL FISH AND WILDLIFE FOU
GM01668|NATL FISHERIES INST
GM0157|ELF ATOCHEM NORTH AMERICA INC
GM01570|FL NURSERYMEN AND GROWERS ASSO
GM04334|TRICHOTILLOMANIA LEARNING CENTER
GM01571|FL NURSES FOU
GM01572|FL SOC OF PROF LAND SURVEYORS
GM01573|FL STATE UNIV RESEARCH FOU
GM01574|FL STRAWBERRY GROWERS ASSO
GM01575|FL SUGAR CANE LEAGUE
GM01576|FL TOMATO COMMITTEE
GM0166|ETHICON
GM01660|NATL ASSO OF ANIMAL BREEDERS
GM01661|NATL ASSO OF CHAIN DRUG STORES
GM01662|NATL ASSO ST UNIV & LAND-GRANT
GM01663|NATL COASTAL RESOURCE R&D INST
GM01664|NATL CNCL AIR AND STREAM IMPROVE
GM01665|NATL CNCL TEACHERS OF ENGLISH RES FOU
GM01583|FORD FOU
GM01584|FRANCIS FAMILIES FOU
GM01585|HUTCHINSON FRED CANCER RES CTR
GM01586|FRIENDS OF THE MOUNTS
GM01587|EWING MARION KAUFFMAN FOU
GM01588|FUND FOR ASTROPHYSICAL RES
GM01589|GEORGIA PEANUT COM
GM0159|ELI LILLY AND CO RES LABORATORIES
