DEPTID|END_DATE|UFID|SAL_ADMIN_PLAN|JOBCODE|HR_POSITION|uri|remove|current|JOBCODE_DESCRIPTION|START_DATE
31020100|NULL|08532620|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-11-22
63520300|NULL|49207730|US2N|1033|1|||yes|GROUNDSKEEPER|1999-11-23
12010000|NULL|32399636|FELL|396|1|||yes|PREDOC FELLOWSHIP|2013-08-16
28090000|NULL|46040458|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2007-09-10
14800000|NULL|60093250|TA12|1756|1|||yes|INFORMATION TECHNOLOGY MGR|1985-11-15
18180300|NULL|98972970|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-08-20
60790000|NULL|51870140|US2E|1027|1|||yes|MAINTENANCE SPV, SR|1998-07-10
52010000|NULL|17175591|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2013-04-19
28311200|NULL|05322200|TU2N|1568|1|||yes|VETERINARY TECH 2|2005-02-04
26020100|NULL|78086985|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2013-07-26
67010000|NULL|19496512|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2007-06-15
52033000|NULL|41136120|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2007-02-19
28311001|NULL|60658081|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2011-04-01
16200000|NULL|21587470|US2N|908|1|||yes|PROGRAM AST|1987-09-28
18080000|NULL|98818720|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2014-06-20
29120000|NULL|07588451|CTSY|743|1|||yes|CO AST PROF|2012-01-03
33050000|NULL|08504030|TU2N|908|1|||yes|PROGRAM AST|2008-06-30
29050405|NULL|31481840|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2012-07-06
52010000|NULL|20669300|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2011-02-18
56022400|NULL|00030914|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2009-08-31
19050000|NULL|51509500|OF09|54|1|||yes|ADJ PROF|2008-06-30
25010000|NULL|49909176|CTSY|743|1|||yes|CO AST PROF|2000-01-01
52020200|NULL|95006693|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2008-07-25
60860000|NULL|91983729|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2009-08-14
52010000|NULL|64330820|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2010-06-02
18180100|NULL|62406873|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2008-12-12
29091200|NULL|76144930|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-09-09
18180500|NULL|69482470|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2008-05-30
29030101|NULL|89891442|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-02-28
16382000|NULL|51180302|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-04-07
29051402|NULL|62941762|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-07-03
60450000|NULL|55356960|US2N|816|1|||yes|EXTENSION PROGRAM AST|1988-02-05
19050000|NULL|83909090|TU2N|820|1|||yes|OFFICE MGR|1993-01-15
60090000|NULL|11617163|CTSY|743|1|||yes|CO AST PROF|2010-10-04
67010000|NULL|65021953|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-08-16
29170000|NULL|59441081|HOUS|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2014-03-21
23120100|NULL|95990929|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-05-06
60212100|NULL|00138980|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2011-01-05
52010000|NULL|21435121|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2005-05-20
29350100|NULL|11517199|TU2N|820|1|||yes|OFFICE MGR|2005-02-08
28090000|NULL|77560740|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2008-08-20
16040100|NULL|94074604|GA09|537|1|||yes|GRADUATE TCH ASO|2011-05-27
16200000|NULL|22615515|FELL|396|1|||yes|PREDOC FELLOWSHIP|2012-08-16
63550400|NULL|00930191|TU2N|1053|1|||yes|MAINTENANCE SPECIALIST|2011-01-03
16200100|NULL|14749111|GA09|538|1|||yes|GRADUATE RES AST|2010-08-16
16200100|NULL|63024729|FELL|396|1|||yes|PREDOC FELLOWSHIP|2013-08-16
29060000|NULL|27559903|TU2E|939|1|||yes|BIOLOGICAL SCIENTIST|2011-05-31
26010600|NULL|60351995|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2010-01-23
11300000|NULL|94172573|TU2E|944|1|||yes|LABORATORY MGR|2008-02-19
32060501|NULL|93552685|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2012-08-27
15020100|NULL|53661500|CTSY|743|1|||yes|CO AST PROF|2013-08-16
17200400|NULL|69531869|FA12|326|1|||yes|PRG DIR & ASO IN|2009-06-01
70010000|NULL|72335997|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-07-07
17010800|NULL|14767794|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-07-15
31010700|NULL|30344120|US2N|908|1|||yes|PROGRAM AST|2001-11-16
16900000|NULL|86146920|CTSY|743|1|||yes|CO AST PROF|2011-10-11
52010000|NULL|83191930|OF12|397|1|||yes|SCH DIR & PROF|2004-10-08
56010000|NULL|41600240|TU2N|892|1|||yes|AUDIO-VISUAL SPEC|1999-04-02
32060000|NULL|97280250|CTSY|182|1|||yes|CO CLIN PROF|2004-06-18
57140100|NULL|91839710|CTSY|141|1|||yes|AFFL LECTURER|2004-06-18
64405000|NULL|33211178|TU2N|827|1|||yes|PROPERTY MGR|2008-09-19
16200000|NULL|95988964|FELL|396|1|||yes|PREDOC FELLOWSHIP|2012-08-16
56021300|NULL|45351463|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-10-11
57140100|NULL|13700480|CTSY|131|1|||yes|AFFL ASO SCHOLAR|2004-06-18
29150000|NULL|12697830|US2N|908|1|||yes|PROGRAM AST|1990-11-15
29080100|NULL|91334301|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2009-10-01
30290000|NULL|90965577|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-09-09
19070000|NULL|14043621|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2010-07-10
29070100|NULL|88107710|US2N|908|1|||yes|PROGRAM AST|1987-10-07
12020200|NULL|93955395|FELL|396|1|||yes|PREDOC FELLOWSHIP|2012-08-16
14800000|NULL|53438701|TA12|1834|1|||yes|IT ANALYST 2|2007-01-19
29050400|NULL|99145845|CTSY|743|1|||yes|CO AST PROF|2012-03-28
28090000|NULL|69048925|CTSY|743|1|||yes|CO AST PROF|2013-02-01
60354036|NULL|07176628|FA12|434|1|||yes|EXT AGENT III|2007-06-01
16200000|NULL|11003489|FELL|396|1|||yes|PREDOC FELLOWSHIP|2012-08-16
52020000|NULL|55401710|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2004-08-13
60352010|NULL|55261100|FA12|434|1|||yes|EXT AGENT III|2007-10-19
60770000|NULL|82681844|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-09-20
29300500|NULL|15153952|TU2N|908|1|||yes|PROGRAM AST|2007-07-09
11300000|NULL|64583883|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-03-11
13030100|NULL|28222660|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-01-02
06030000|NULL|78938145|FWSP|1484|1|||yes|STU AST - FEDERAL COMM SERVICE|2008-09-05
52032000|NULL|46801798|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2006-12-01
60732000|NULL|19119039|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-10-15
52010000|NULL|31660650|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2006-11-17
16980300|NULL|51074932|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-04-20
60260000|NULL|54996996|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-05-08
12020100|NULL|54656621|FELL|396|1|||yes|PREDOC FELLOWSHIP|2010-08-16
60354058|NULL|55488473|FA12|434|1|||yes|EXT AGENT III|2005-03-19
35010700|NULL|95364456|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2013-09-27
52010000|NULL|27349480|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2008-01-01
60140000|NULL|93319720|US2E|945|1|||yes|LABORATORY, SR TEACHING SPEC|1989-09-15
17200400|NULL|91212560|TA12|1441|1|||yes|CAREER DEVEL SVCS, CRD 3|2006-06-12
52020000|NULL|15111376|TU2N|908|1|||yes|PROGRAM AST|2012-10-01
60800000|NULL|70667430|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|1995-04-07
18180600|NULL|75114660|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2008-05-30
60754100|NULL|25347845|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-03-18
32060501|NULL|96939994|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-06-26
15010000|NULL|69659706|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-01-01
60733000|NULL|88979659|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-04-23
28011502|NULL|21156040|TA12|1246|1|||yes|INFO/PUB SVCS, AST DIR 4|1990-08-01
28011702|NULL|73190419|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2008-06-03
18180000|NULL|69469408|GA12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2013-05-16
60330000|NULL|17794373|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2010-05-17
60410000|NULL|71018680|TA12|1476|1|||yes|IT EXPERT|1991-05-10
15010000|NULL|59603515|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2012-10-26
19020000|NULL|12119865|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-05-20
11900000|NULL|29873490|TU2N|908|1|||yes|PROGRAM AST|1997-11-17
16380000|NULL|55037010|FELL|396|1|||yes|PREDOC FELLOWSHIP|2011-08-16
12020100|NULL|13181196|FELL|396|1|||yes|PREDOC FELLOWSHIP|2010-08-16
16880100|NULL|56404934|FELL|396|1|||yes|PREDOC FELLOWSHIP|2011-08-16
18180300|NULL|74798537|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-08-22
57130100|NULL|93146949|TA12|1164|1|||yes|EDUC/TRAINING PROGS, CRD 1|2007-09-17
11260000|NULL|99819338|TU2E|904|1|||yes|MARKETING REP|2014-06-09
60733000|NULL|26370040|TU2N|938|1|||yes|LABORATORY TECH, SR|1980-09-04
29040200|NULL|09122910|FACM|789|1|||yes|CLIN PROF|1981-02-01
57130302|NULL|95858113|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2009-12-10
07700100|NULL|38572070|TA12|1210|1|||yes|UNIV HOUSING, CRD 2|2008-11-26
30090000|NULL|11344657|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2012-12-07
32060501|NULL|71207784|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-04-21
29120000|NULL|54324630|TA12|1345|1|||yes|EDUC/TRAINING PROGS, CRD 3|2006-06-19
16120100|NULL|37544070|US2E|945|1|||yes|LABORATORY, SR TEACHING SPEC|1991-03-01
11010000|NULL|54997730|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2009-04-24
16360100|NULL|93854953|FELL|396|1|||yes|PREDOC FELLOWSHIP|2013-08-16
60210000|NULL|91782889|FELL|396|1|||yes|PREDOC FELLOWSHIP|2013-09-16
07110000|NULL|64302643|TU2N|1066|1|||yes|CUSTODIAL SPV|2010-03-01
32080300|NULL|31048300|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2012-01-25
52010000|NULL|87647670|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2006-08-29
60460000|NULL|14015937|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2011-02-25
19221100|NULL|40659480|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|1968-04-15
60330000|NULL|01847347|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2008-06-01
30090000|NULL|98089559|TA12|1335|1|||yes|CLINICAL PROGRAMS, CRD 3|2013-09-06
34100300|NULL|13594628|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2011-10-28
19050000|NULL|15540530|TU2N|908|1|||yes|PROGRAM AST|2014-06-23
63520300|NULL|36663246|TU2N|1033|1|||yes|GROUNDSKEEPER|2009-10-19
63520300|NULL|63917381|TU2N|1033|1|||yes|GROUNDSKEEPER|2012-11-13
27010400|NULL|29143131|TA12|1274|1|||yes|INFO/PUBLICATIONS SVCS, DIR 4|2012-11-29
52032000|NULL|03069983|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2007-09-21
14200850|NULL|94156994|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2011-08-22
55030100|NULL|58869196|TU2N|1592|1|||yes|LIBRARY ASSISTANT 2|2008-08-15
11200000|NULL|61019450|TU2N|908|1|||yes|PROGRAM AST|2011-01-28
34060500|NULL|74366835|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-10-14
29290100|NULL|81965875|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2012-06-18
29030101|NULL|12120999|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2010-08-20
12010000|NULL|10097741|FELL|396|1|||yes|PREDOC FELLOWSHIP|2013-08-16
03020000|NULL|96738376|TU2N|908|1|||yes|PROGRAM AST|2013-03-01
68040000|NULL|75287870|US2N|1107|1|||yes|CAMPUS PARKING PATROLLER|1997-09-26
28040000|NULL|56465650|CTSY|743|1|||yes|CO AST PROF|2011-02-07
60100000|NULL|91678561|TU2E|939|1|||yes|BIOLOGICAL SCIENTIST|2004-12-03
12020100|NULL|29943879|FELL|396|1|||yes|PREDOC FELLOWSHIP|2012-08-16
64801000|NULL|91246630|TA12|1171|1|||yes|CONTROLLER, ASSOCIATE 5|1989-02-06
52010000|NULL|16187099|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2008-02-22
60460000|NULL|02551230|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-11-01
30090000|NULL|06176586|TU2N|908|1|||yes|PROGRAM AST|2014-04-21
06030000|NULL|51491819|FWSP|1484|1|||yes|STU AST - FEDERAL COMM SERVICE|2013-09-05
52010000|NULL|41690123|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2014-05-23
18180400|NULL|51411475|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2010-04-01
14200350|NULL|13119953|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2012-03-15
60140000|NULL|29725220|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-06-07
64405000|NULL|23519859|TU2N|865|1|||yes|IT INTERMEDIATE|2012-01-20
52061000|NULL|44508090|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2008-08-29
52010000|NULL|64205260|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2005-05-06
29051402|NULL|46481410|FACM|321|1|||yes|PRG DIR & ASO PROF|2004-06-18
29160204|NULL|29881360|TU2N|908|1|||yes|PROGRAM AST|1999-06-25
32080300|NULL|17180948|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2010-03-29
07700100|NULL|44349781|TA12|1261|1|||yes|STUDENT AFFAIRS, , CRD 1|2008-04-18
16980300|NULL|55364463|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-10-05
29190000|NULL|51427982|FACM|291|1|||yes|CHIEF & PROF|2006-01-17
28050000|NULL|85183441|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-07-10
18180300|NULL|56397601|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-07-24
16240100|NULL|50418295|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-05-23
16860100|NULL|84145447|OF09|67|1|||yes|ADJ LECTURER|2010-08-16
60320000|NULL|15730954|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-07-14
60170000|NULL|53156850|CTSY|743|1|||yes|CO AST PROF|2004-06-18
60451000|NULL|33467171|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2012-10-04
60100000|NULL|50137999|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-08-08
33030000|NULL|62416260|OF12|67|1|||yes|ADJ LECTURER|2012-01-06
24010000|NULL|22446901|OF09|54|1|||yes|ADJ PROF|2005-01-01
23010200|NULL|80959038|OF09|67|1|||yes|ADJ LECTURER|2013-08-16
32060300|NULL|93090460|CTSY|141|1|||yes|AFFL LECTURER|2005-12-07
19020000|NULL|51903133|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-05-16
52010000|NULL|39566680|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2011-07-08
33070000|NULL|48964846|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-07-01
56022301|NULL|81143921|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-07-18
30070000|NULL|84608450|HOUS|294|1|||yes|CHIEF RESIDENT|2005-05-16
19020000|NULL|65342549|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-07-28
15040000|NULL|76861600|OF09|67|1|||yes|ADJ LECTURER|2014-01-01
32060300|NULL|96992138|CTSY|141|1|||yes|AFFL LECTURER|2005-08-26
60210000|NULL|63733857|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-07-01
63700100|NULL|47188260|TU2E|929|1|||yes|ENGINEERING TECH, SR|1998-03-13
33070000|NULL|90939426|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-07-01
60770000|NULL|68627120|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-06-09
30220000|NULL|62246490|HOUS|294|1|||yes|CHIEF RESIDENT|2006-12-01
31010400|NULL|85189129|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-07-29
60140000|NULL|35291031|GA12|538|1|||yes|GRADUATE RES AST|2014-08-16
29080100|NULL|51454572|OF12|67|1|||yes|ADJ LECTURER|2013-05-01
60180000|NULL|08350730|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2013-08-09
60070000|NULL|26628085|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2012-03-15
60770000|NULL|82528970|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|1994-07-05
28311001|NULL|86986850|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-08-02
19010200|NULL|19498858|TA12|1194|1|||yes|ACADEMIC SUPP SVCS, AST DIR 3|2014-08-11
29190000|NULL|45158937|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2012-02-17
16340100|NULL|93617195|TU2N|805|1|||yes|SECRETARY, SR|2007-05-17
27010717|NULL|11644300|TA12|1476|1|||yes|IT EXPERT|2004-01-05
19020000|NULL|73265765|OF09|67|1|||yes|ADJ LECTURER|2014-08-16
28090000|NULL|31161114|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-09-13
16940100|NULL|94991558|OF09|67|1|||yes|ADJ LECTURER|2005-08-16
29140300|NULL|13438109|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-05-12
29080100|NULL|98434141|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-08-01
56020500|NULL|18159575|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2006-07-14
29040100|NULL|70703040|TU2N|908|1|||yes|PROGRAM AST|2002-09-30
60060000|NULL|26206371|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2008-09-18
33040000|NULL|17484241|OF12|67|1|||yes|ADJ LECTURER|2009-01-01
28090000|NULL|46296673|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-07-11
60470000|NULL|99614399|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2012-08-16
13040100|NULL|13688400|OF09|67|1|||yes|ADJ LECTURER|1993-08-13
60190000|NULL|59969673|CTSY|743|1|||yes|CO AST PROF|2005-01-01
19070000|NULL|74139071|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-05-20
60733000|NULL|73988871|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2009-01-05
29090100|NULL|19148178|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2007-06-25
56021300|NULL|93967978|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-07-15
23040000|NULL|44276380|OF09|67|1|||yes|ADJ LECTURER|1993-10-22
33080000|NULL|51313710|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-01-28
28090000|NULL|70922937|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-02-26
60090000|NULL|86506333|TU2E|939|1|||yes|BIOLOGICAL SCIENTIST|2013-10-01
16360100|NULL|01184505|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-06-03
16200100|NULL|14158159|GA09|538|1|||yes|GRADUATE RES AST|2011-08-16
18080000|NULL|38047330|OF09|54|1|||yes|ADJ PROF|1975-08-30
18080000|NULL|94676650|OF09|67|1|||yes|ADJ LECTURER|2006-08-16
13030100|NULL|86716810|OF09|67|1|||yes|ADJ LECTURER|2014-08-16
33040000|NULL|35180200|FA12|789|1|||yes|CLIN PROF|1998-06-12
60210000|NULL|84940950|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2011-06-10
16860100|NULL|40604922|OF09|67|1|||yes|ADJ LECTURER|2010-08-16
